"","FILENUM","INCIDENT_TYPE","SOURCE","SUBJ_TYPE","SUBJ_INC_NUM","SERVICE_TYPE","RESISTANCE_TYPE","SUB_ACT_DESC","UOF_EFFECTIVE","SUBJ_INJ","SUBJ_INJ_HOSP","INVOLVMENT","AGE","YRS_EMPL","SEX","RACE","ALLEGATION_MADE","FINDING","RECEIVED_DT","OCCURRED_DT","INC_STATUS"
"27","CEF2023-008","Complaint External-Formal",NA,"Officer",19195,NA,NA,NA,NA,NA,NA,"Officer",37,"2","Male","Asian",NA,NA,NA,NA,NA
"28","CEF2023-008","Complaint External-Formal",NA,"Officer",19196,NA,NA,NA,NA,NA,NA,"Witness",61,"27","Male","White",NA,NA,NA,NA,NA
"29","CEF2023-009","Complaint External-Formal","Citizen In-Person","Officer",19146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Performance - Making false or misleading statements","Sustained",2023-04-09,2023-04-09,"Completed"
"30","CEF2023-009","Complaint External-Formal",NA,"Citizen",5113,NA,NA,NA,NA,NA,NA,"Complainant",NA,NA,"Male","White",NA,NA,NA,NA,NA
"31","CEF2023-009","Complaint External-Formal",NA,"Officer",19146,NA,NA,NA,NA,NA,NA,"Officer",28,"4","male","white",NA,NA,NA,NA,NA
"32","CEF2023-010","Complaint External-Formal","Outside LE Agency","Officer",19221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Unreasonable or unwarranted use of force","Unfounded",2023-04-19,2023-04-18,"Completed"
"33","CEF2023-010","Complaint External-Formal","Outside LE Agency","Officer",19222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Unreasonable or unwarranted use of force","Unfounded",2023-04-19,2023-04-18,"Completed"
"34","CEF2023-010","Complaint External-Formal","Outside LE Agency","Officer",19222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Department Values Violation - Service Attitude","Sustained",2023-04-19,2023-04-18,"Completed"
"35","CEF2023-010","Complaint External-Formal","Outside LE Agency","Officer",19223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Discourteous or disrespectful treatment of public","Corrective Action",2023-04-19,2023-04-18,"Completed"
"36","CEF2023-010","Complaint External-Formal","Outside LE Agency","Officer",19221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Department Values Violation - Service Attitude","Sustained",2023-04-19,2023-04-18,"Completed"
"37","CEF2023-010","Complaint External-Formal",NA,"Citizen",5127,NA,NA,NA,NA,NA,NA,"Complainant",NA,NA,"Male","Black",NA,NA,NA,NA,NA
"38","CEF2023-010","Complaint External-Formal",NA,"Citizen",5128,NA,NA,NA,NA,NA,NA,"Complainant",NA,NA,"Female",NA,NA,NA,NA,NA,NA
"39","CEF2023-010","Complaint External-Formal",NA,"Citizen",5297,NA,NA,NA,NA,NA,NA,"Complainant",61,NA,"Male","White",NA,NA,NA,NA,NA
"40","CEF2023-010","Complaint External-Formal",NA,"Citizen",5298,NA,NA,NA,NA,NA,NA,"Complainant",NA,NA,"Female","White",NA,NA,NA,NA,NA
"41","CEF2023-010","Complaint External-Formal",NA,"Citizen",5299,NA,NA,NA,NA,NA,NA,"Complainant",NA,NA,"Female",NA,NA,NA,NA,NA,NA
"42","CEF2023-010","Complaint External-Formal",NA,"Officer",19221,NA,NA,NA,NA,NA,NA,"Officer",42,"10","Male","White",NA,NA,NA,NA,NA
"43","CEF2023-010","Complaint External-Formal",NA,"Officer",19222,NA,NA,NA,NA,NA,NA,"Officer",32,"5","Male","White",NA,NA,NA,NA,NA
"44","CEF2023-010","Complaint External-Formal",NA,"Officer",19223,NA,NA,NA,NA,NA,NA,"Officer",38,"1","male","White",NA,NA,NA,NA,NA
"45","CEF2023-011","Complaint External-Formal","Citizen Telephone Call","Officer",19100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Exceeding powers by unreasonable, unlawful or excessive conduct","Sustained",2023-03-27,2023-03-26,"Completed"
"46","CEF2023-011","Complaint External-Formal",NA,"Citizen",5101,NA,NA,NA,NA,NA,NA,"Complainant",28,NA,"Male","Unknown",NA,NA,NA,NA,NA
"47","CEF2023-011","Complaint External-Formal",NA,"Officer",19100,NA,NA,NA,NA,NA,NA,"Officer",31,"5","Female","White",NA,NA,NA,NA,NA
"48","CEF2023-012","Complaint External-Formal","Citizen Letter","Officer",19436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Unreasonable or unwarranted use of force","No Misconduct",2023-06-20,2023-05-23,"Completed"
"49","CEF2023-012","Complaint External-Formal","Citizen Letter","Officer",19435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Unreasonable or unwarranted use of force","No Misconduct",2023-06-20,2023-05-23,"Completed"
"50","CEF2023-012","Complaint External-Formal",NA,"Citizen",5170,NA,NA,NA,NA,NA,NA,"Complainant",35,NA,"Female","White",NA,NA,NA,NA,NA
"51","CEF2023-012","Complaint External-Formal",NA,"Officer",19435,NA,NA,NA,NA,NA,NA,"Officer",35,"9","Male","White",NA,NA,NA,NA,NA
"52","CEF2023-012","Complaint External-Formal",NA,"Officer",19436,NA,NA,NA,NA,NA,NA,"Officer",31,"1","Female","Hispanic",NA,NA,NA,NA,NA
"53","CEF2023-012","Complaint External-Formal",NA,"Officer",19437,NA,NA,NA,NA,NA,NA,"Witness",27,"1","Male","White",NA,NA,NA,NA,NA
"54","CEF2023-013","Complaint External-Formal","Citizen Telephone Call","Officer",19453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Safety -Unsafe or improper driving habits or actions","No Misconduct",2023-06-08,2023-06-08,"Completed"
"55","CEF2023-013","Complaint External-Formal",NA,"Citizen",5154,NA,NA,NA,NA,NA,NA,"Complainant",NA,NA,"Male","Unknown",NA,NA,NA,NA,NA
"56","CEF2023-013","Complaint External-Formal",NA,"Officer",19453,NA,NA,NA,NA,NA,NA,"Officer",49,"14","Male","White",NA,NA,NA,NA,NA
"57","CEF2023-014","Complaint External-Formal","Citizen E-Mail","Officer",19545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Discrimination, Oppression or Favoritism - Color","Unfounded",2023-07-18,2023-07-18,"Completed"
"58","CEF2023-014","Complaint External-Formal",NA,"Citizen",5187,NA,NA,NA,NA,NA,NA,"Complainant",NA,NA,"Male","White",NA,NA,NA,NA,NA
"59","CEF2023-014","Complaint External-Formal",NA,"Citizen",5188,NA,NA,NA,NA,NA,NA,"Complainant",NA,NA,"Male","Black",NA,NA,NA,NA,NA
"60","CEF2023-014","Complaint External-Formal",NA,"Citizen",5189,NA,NA,NA,NA,NA,NA,"Complainant",NA,NA,"Male","White",NA,NA,NA,NA,NA
"61","CEF2023-014","Complaint External-Formal",NA,"Citizen",5192,NA,NA,NA,NA,NA,NA,"Complainant",NA,NA,"Male","White",NA,NA,NA,NA,NA
"62","CEF2023-014","Complaint External-Formal",NA,"Citizen",5193,NA,NA,NA,NA,NA,NA,"Complainant",NA,NA,"Female","White",NA,NA,NA,NA,NA
"63","CEF2023-014","Complaint External-Formal",NA,"Citizen",5194,NA,NA,NA,NA,NA,NA,"Complainant",NA,NA,"Male","White",NA,NA,NA,NA,NA
"64","CEF2023-014","Complaint External-Formal",NA,"Officer",19545,NA,NA,NA,NA,NA,NA,"Officer",41,"12","Male","White",NA,NA,NA,NA,NA
"65","CEF2023-015","Complaint External-Formal","Criminal Investigation","Officer",19403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Efficiency - Unsatisfactory work performance","Non-Sustained",2023-06-13,2023-05-23,"Completed"
"66","CEF2023-015","Complaint External-Formal","Criminal Investigation","Officer",19401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Efficiency - Unsatisfactory work performance","Sustained",2023-06-13,2023-05-23,"Completed"
"67","CEF2023-015","Complaint External-Formal",NA,"Citizen",5156,NA,NA,NA,NA,NA,NA,"Complainant",63,NA,"Male","White",NA,NA,NA,NA,NA
"68","CEF2023-015","Complaint External-Formal",NA,"Citizen",5157,NA,NA,NA,NA,NA,NA,"Witness",53,NA,"Male","White",NA,NA,NA,NA,NA
"69","CEF2023-015","Complaint External-Formal",NA,"Officer",19401,NA,NA,NA,NA,NA,NA,"Officer",65,"25","Male","Amer Ind",NA,NA,NA,NA,NA
"70","CEF2023-015","Complaint External-Formal",NA,"Officer",19403,NA,NA,NA,NA,NA,NA,"Officer",35,"9","Male","White",NA,NA,NA,NA,NA
"71","CEF2023-015","Complaint External-Formal",NA,"Officer",19404,NA,NA,NA,NA,NA,NA,"Complainant",52,"14","Male","White",NA,NA,NA,NA,NA
"72","CEF2023-015","Complaint External-Formal",NA,"Officer",19405,NA,NA,NA,NA,NA,NA,"Witness",51,"15","Male","White",NA,NA,NA,NA,NA
"73","CEF2023-015","Complaint External-Formal",NA,"Officer",20112,NA,NA,NA,NA,NA,NA,"Witness",26,"1","male","white",NA,NA,NA,NA,NA
"74","CEF2023-016","Complaint External-Formal","Citizen Telephone Call","Officer",19682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Discourteous or disrespectful treatment of public","Unfounded",2023-08-23,2023-08-23,"Completed"
"75","CEF2023-016","Complaint External-Formal",NA,"Citizen",5208,NA,NA,NA,NA,NA,NA,"Complainant",51,NA,"Male","Unknown",NA,NA,NA,NA,NA
"76","CEF2023-016","Complaint External-Formal",NA,"Officer",19682,NA,NA,NA,NA,NA,NA,"Officer",60,"24","Male","White",NA,NA,NA,NA,NA
"77","CEF2023-017","Complaint External-Formal","Citizen Telephone Call","Officer",19785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Discourteous or disrespectful treatment of public","Exonerated",2023-09-12,2023-09-12,"Completed"
"78","CEF2023-017","Complaint External-Formal",NA,"Citizen",5227,NA,NA,NA,NA,NA,NA,"Complainant",34,NA,"Male","N/A",NA,NA,NA,NA,NA
"79","CEF2023-017","Complaint External-Formal",NA,"Officer",19785,NA,NA,NA,NA,NA,NA,"Officer",38,"15","Male","White",NA,NA,NA,NA,NA
"80","CEF2023-018","Complaint External-Formal","Citizen Telephone Call","Officer",19814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Efficiency - Neglect of Duty","Sustained",2023-09-23,2023-09-18,"Completed"
"81","CEF2023-018","Complaint External-Formal",NA,"Citizen",5238,NA,NA,NA,NA,NA,NA,"Complainant",30,NA,"Female",NA,NA,NA,NA,NA,NA
"82","CEF2023-018","Complaint External-Formal",NA,"Citizen",5239,NA,NA,NA,NA,NA,NA,"Complainant",38,NA,"Male",NA,NA,NA,NA,NA,NA
"83","CEF2023-018","Complaint External-Formal",NA,"Citizen",5300,NA,NA,NA,NA,NA,NA,"Complainant",41,NA,"Female","White",NA,NA,NA,NA,NA
"84","CEF2023-018","Complaint External-Formal",NA,"Citizen",5301,NA,NA,NA,NA,NA,NA,"Complainant",63,NA,"Male","White",NA,NA,NA,NA,NA
"85","CEF2023-018","Complaint External-Formal",NA,"Officer",19814,NA,NA,NA,NA,NA,NA,"Officer",31,"5","Female","White",NA,NA,NA,NA,NA
"86","CEF2023-020","Complaint External-Formal","Citizen E-Mail","Officer",19973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Discrimination, Oppression or Favoritism - Color","No Misconduct",2023-10-23,2023-08-30,"Completed"
"87","CEF2023-020","Complaint External-Formal",NA,"Officer",19973,NA,NA,NA,NA,NA,NA,"Officer",49,"14","Male","White",NA,NA,NA,NA,NA
"88","CEF2023-022","Complaint External-Formal","Citizen In-Person",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-12-16,2023-12-15,"Completed"
"89","CEF2023-022","Complaint External-Formal",NA,"Citizen",5320,NA,NA,NA,NA,NA,NA,"Complainant",31,NA,"Male","Unknown",NA,NA,NA,NA,NA
"90","CEF2023-022","Complaint External-Formal",NA,"Citizen",5321,NA,NA,NA,NA,NA,NA,"Witness",22,NA,"Female","White",NA,NA,NA,NA,NA
"91","CEF2023-022","Complaint External-Formal",NA,"Citizen",5322,NA,NA,NA,NA,NA,NA,"Witness",25,NA,"Male","Black",NA,NA,NA,NA,NA
"92","CEF2023-022","Complaint External-Formal",NA,"Officer",20283,NA,NA,NA,NA,NA,NA,"Officer",48,"12","Male","White",NA,NA,NA,NA,NA
"93","CEF2023-022","Complaint External-Formal",NA,"Officer",20284,NA,NA,NA,NA,NA,NA,"Officer",38,"8","Male","White",NA,NA,NA,NA,NA
"94","CEF2023-022","Complaint External-Formal",NA,"Officer",20285,NA,NA,NA,NA,NA,NA,"Officer",36,"1","Male","White",NA,NA,NA,NA,NA
"95","CEF2023-022","Complaint External-Formal",NA,"Officer",20286,NA,NA,NA,NA,NA,NA,"Officer",27,"0","male","white",NA,NA,NA,NA,NA
"96","CEI2023-001","Complaint External-Informal","Citizen Telephone Call",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-01-10,2023-01-10,"Completed"
"97","CEI2023-001","Complaint External-Informal",NA,"Citizen",5019,NA,NA,NA,NA,NA,NA,"Complainant",31,NA,"Male","White",NA,NA,NA,NA,NA
"98","CEI2023-001","Complaint External-Informal",NA,"Officer",18795,NA,NA,NA,NA,NA,NA,"Officer",32,"7","Male","White",NA,NA,NA,NA,NA
"99","CEI2023-001","Complaint External-Informal",NA,"Officer",18796,NA,NA,NA,NA,NA,NA,"Witness",49,"18","Male","White",NA,NA,NA,NA,NA
"100","CEI2023-002","Complaint External-Informal","Citizen E-Mail","Officer",18886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Discourteous or disrespectful treatment of public",NA,2023-01-26,2023-01-14,"Completed"
"101","CEI2023-002","Complaint External-Informal",NA,"Citizen",5035,NA,NA,NA,NA,NA,NA,"Complainant",NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","CEI2023-002","Complaint External-Informal",NA,"Officer",18886,NA,NA,NA,NA,NA,NA,"Officer",38,"6","Male","White",NA,NA,NA,NA,NA
"103","CEI2023-005","Complaint External-Informal","Citizen Telephone Call","Officer",19121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Discourteous or disrespectful treatment of public","No Misconduct",2023-04-04,2023-04-04,"Completed"
"104","CEI2023-005","Complaint External-Informal",NA,"Citizen",5108,NA,NA,NA,NA,NA,NA,"Complainant",NA,NA,"Male","Unknown",NA,NA,NA,NA,NA
"105","CEI2023-005","Complaint External-Informal",NA,"Officer",19121,NA,NA,NA,NA,NA,NA,"Officer",38,"10","Male","White",NA,NA,NA,NA,NA
"106","CEI2023-005","Complaint External-Informal",NA,"Officer",19122,NA,NA,NA,NA,NA,NA,"Witness",37,"7","Male","Vietnamese",NA,NA,NA,NA,NA
"107","CEI2023-006","Complaint External-Informal","Citizen Telephone Call","Officer",19078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Efficiency - Unsatisfactory work performance","No Misconduct",2023-03-22,2023-03-22,"Completed"
"108","CEI2023-006","Complaint External-Informal",NA,"Citizen",5092,NA,NA,NA,NA,NA,NA,"Complainant",NA,NA,"Female",NA,NA,NA,NA,NA,NA
"109","CEI2023-006","Complaint External-Informal",NA,"Officer",19078,NA,NA,NA,NA,NA,NA,"Officer",40,"8","Male","White",NA,NA,NA,NA,NA
"110","CEI2023-007","Complaint External-Informal","Citizen Telephone Call","Officer",19303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Discourteous or disrespectful treatment of public",NA,2023-05-08,2023-05-09,"Completed"
"111","CEI2023-007","Complaint External-Informal",NA,"Citizen",5138,NA,NA,NA,NA,NA,NA,"Complainant",NA,NA,"Female","White",NA,NA,NA,NA,NA
"112","CEI2023-007","Complaint External-Informal",NA,"Officer",19303,NA,NA,NA,NA,NA,NA,"Officer",28,"4","male","white",NA,NA,NA,NA,NA
"113","CEI2023-008","Complaint External-Formal","Employee","Officer",19381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Exceeding powers by unreasonable, unlawful or excessive conduct","Exonerated",2023-06-05,2023-06-03,"Completed"
"114","CEI2023-008","Complaint External-Formal",NA,"Citizen",5155,NA,NA,NA,NA,NA,NA,"Complainant",NA,NA,"Male","Black",NA,NA,NA,NA,NA
"115","CEI2023-008","Complaint External-Formal",NA,"Officer",19381,NA,NA,NA,NA,NA,NA,"Officer",33,"7","Male","White",NA,NA,NA,NA,NA
"116","CEI2023-008","Complaint External-Formal",NA,"Officer",20113,NA,NA,NA,NA,NA,NA,"Witness",33,"6","Male","White",NA,NA,NA,NA,NA
"117","CEI2023-009","Complaint External-Informal","Citizen Telephone Call","Officer",19546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Discrimination, Oppression or Favoritism - Color","No Misconduct",2023-07-18,2023-06-09,"Completed"
"118","CEI2023-009","Complaint External-Informal",NA,"Citizen",5183,NA,NA,NA,NA,NA,NA,"Complainant",58,NA,"Male","Black",NA,NA,NA,NA,NA
"119","CEI2023-009","Complaint External-Informal",NA,"Officer",19546,NA,NA,NA,NA,NA,NA,"Officer",34,"1","male","white",NA,NA,NA,NA,NA
"120","CEI2023-010","Complaint External-Informal","Employee","Officer",19530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Exceeding powers by unreasonable, unlawful or excessive conduct","No Misconduct",2023-07-13,2023-07-13,"Completed"
"121","CEI2023-010","Complaint External-Informal",NA,"Citizen",5180,NA,NA,NA,NA,NA,NA,"Complainant",56,NA,"Female","White",NA,NA,NA,NA,NA
"122","CEI2023-010","Complaint External-Informal",NA,"Officer",19530,NA,NA,NA,NA,NA,NA,"Officer",24,"0","male","white",NA,NA,NA,NA,NA
"123","CEI2023-010","Complaint External-Informal",NA,"Officer",19531,NA,NA,NA,NA,NA,NA,"Witness",42,"18","Male","White",NA,NA,NA,NA,NA
"124","CEI2023-010","Complaint External-Informal",NA,"Officer",20114,NA,NA,NA,NA,NA,NA,"Witness",33,"6","Male","White",NA,NA,NA,NA,NA
"125","CEI2023-011","Complaint External-Informal","Citizen Telephone Call","Officer",19608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Unreasonable or unwarranted use of force","No Misconduct",2023-08-04,2023-08-03,"Completed"
"126","CEI2023-011","Complaint External-Informal","Citizen Telephone Call","Officer",19608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Discourteous or disrespectful treatment of public","No Misconduct",2023-08-04,2023-08-03,"Completed"
"127","CEI2023-011","Complaint External-Informal","Citizen Telephone Call","Officer",19609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Unreasonable or unwarranted use of force","No Misconduct",2023-08-04,2023-08-03,"Completed"
"128","CEI2023-011","Complaint External-Informal","Citizen Telephone Call","Officer",19611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Unreasonable or unwarranted use of force","No Misconduct",2023-08-04,2023-08-03,"Completed"
"129","CEI2023-011","Complaint External-Informal","Citizen Telephone Call","Officer",19609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Discourteous or disrespectful treatment of public","No Misconduct",2023-08-04,2023-08-03,"Completed"
"130","CEI2023-011","Complaint External-Informal","Citizen Telephone Call","Officer",19610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Discourteous or disrespectful treatment of public","No Misconduct",2023-08-04,2023-08-03,"Completed"
"131","CEI2023-011","Complaint External-Informal","Citizen Telephone Call","Officer",19611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Discourteous or disrespectful treatment of public","No Misconduct",2023-08-04,2023-08-03,"Completed"
"132","CEI2023-011","Complaint External-Informal","Citizen Telephone Call","Officer",19610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Unreasonable or unwarranted use of force","No Misconduct",2023-08-04,2023-08-03,"Completed"
"133","CEI2023-011","Complaint External-Informal",NA,"Citizen",5198,NA,NA,NA,NA,NA,NA,"Complainant",NA,NA,"Female","White",NA,NA,NA,NA,NA
"134","CEI2023-011","Complaint External-Informal",NA,"Officer",19608,NA,NA,NA,NA,NA,NA,"Officer",53,"9","Male","White",NA,NA,NA,NA,NA
"135","CEI2023-011","Complaint External-Informal",NA,"Officer",19611,NA,NA,NA,NA,NA,NA,"Officer",33,"7","Male","White",NA,NA,NA,NA,NA
"136","CEI2023-011","Complaint External-Informal",NA,"Officer",19609,NA,NA,NA,NA,NA,NA,"Officer",27,"2","Male","White",NA,NA,NA,NA,NA
"137","CEI2023-011","Complaint External-Informal",NA,"Officer",19610,NA,NA,NA,NA,NA,NA,"Officer",33,"6","Male","White",NA,NA,NA,NA,NA
"138","CEI2023-013","Complaint External-Informal","Citizen E-Mail","Officer",19846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Discourteous or disrespectful treatment of public","No Misconduct",2023-10-03,2023-10-01,"Completed"
"139","CEI2023-013","Complaint External-Informal","Citizen E-Mail","Officer",19847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Discourteous or disrespectful treatment of public","No Misconduct",2023-10-03,2023-10-01,"Completed"
"140","CEI2023-013","Complaint External-Informal",NA,"Officer",19846,NA,NA,NA,NA,NA,NA,"Officer",28,"1","Male","Hispanic",NA,NA,NA,NA,NA
"141","CEI2023-013","Complaint External-Informal",NA,"Citizen",5246,NA,NA,NA,NA,NA,NA,"Complainant",35,NA,"Male","White",NA,NA,NA,NA,NA
"142","CEI2023-013","Complaint External-Informal",NA,"Officer",19847,NA,NA,NA,NA,NA,NA,"Officer",24,"2","Male","White",NA,NA,NA,NA,NA
"143","CEI2023-014","Complaint External-Formal","Citizen Telephone Call","Officer",19967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Discourteous or disrespectful treatment of public","No Misconduct",2023-10-23,2023-10-19,"Completed"
"144","CEI2023-014","Complaint External-Formal",NA,"Citizen",5268,NA,NA,NA,NA,NA,NA,"Complainant",NA,NA,"Male","Unknown",NA,NA,NA,NA,NA
"145","CEI2023-014","Complaint External-Formal",NA,"Officer",19967,NA,NA,NA,NA,NA,NA,"Officer",49,"14","Male","White",NA,NA,NA,NA,NA
