"","FILENUM","INCIDENT_TYPE","SOURCE","SUBJ_TYPE","SUBJ_INC_NUM","SERVICE_TYPE","RESISTANCE_TYPE","SUB_ACT_DESC","UOF_EFFECTIVE","SUBJ_INJ","SUBJ_INJ_HOSP","INVOLVMENT","AGE","YRS_EMPL","SEX","RACE","ALLEGATION_MADE","FINDING","RECEIVED_DT","OCCURRED_DT","INC_STATUS"
"13","CEF2023-010","Complaint External-Formal","Outside LE Agency","Officer",19223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Discourteous or disrespectful treatment of public","Corrective Action",2023-04-19,2023-04-18,"Completed"
"14","CEF2023-011","Complaint External-Formal","Citizen Telephone Call","Officer",19100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Exceeding powers by unreasonable, unlawful or excessive conduct","Sustained",2023-03-27,2023-03-26,"Completed"
"15","CEF2023-012","Complaint External-Formal","Citizen Letter","Officer",19435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Unreasonable or unwarranted use of force","No Misconduct",2023-06-20,2023-05-23,"Completed"
"16","CEF2023-012","Complaint External-Formal","Citizen Letter","Officer",19436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Unreasonable or unwarranted use of force","No Misconduct",2023-06-20,2023-05-23,"Completed"
"17","CEF2023-013","Complaint External-Formal","Citizen Telephone Call","Officer",19453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Safety -Unsafe or improper driving habits or actions","No Misconduct",2023-06-08,2023-06-08,"Completed"
"18","CEF2023-014","Complaint External-Formal","Citizen E-Mail","Officer",19545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Discrimination, Oppression or Favoritism - Color","Unfounded",2023-07-18,2023-07-18,"Completed"
"19","CEF2023-015","Complaint External-Formal","Criminal Investigation","Officer",19401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Efficiency - Unsatisfactory work performance","Sustained",2023-06-13,2023-05-23,"Completed"
"20","CEF2023-015","Complaint External-Formal","Criminal Investigation","Officer",19403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Efficiency - Unsatisfactory work performance","Non-Sustained",2023-06-13,2023-05-23,"Completed"
"21","CEF2023-016","Complaint External-Formal","Citizen Telephone Call","Officer",19682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Discourteous or disrespectful treatment of public","Unfounded",2023-08-23,2023-08-23,"Completed"
"22","CEF2023-017","Complaint External-Formal","Citizen Telephone Call","Officer",19785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Discourteous or disrespectful treatment of public","Exonerated",2023-09-12,2023-09-12,"Completed"
"23","CEF2023-018","Complaint External-Formal","Citizen Telephone Call","Officer",19814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Efficiency - Neglect of Duty","Sustained",2023-09-23,2023-09-18,"Completed"
"24","CEF2023-020","Complaint External-Formal","Citizen E-Mail","Officer",19973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Discrimination, Oppression or Favoritism - Color","No Misconduct",2023-10-23,2023-08-30,"Completed"
"25","CEF2023-022","Complaint External-Formal","Citizen In-Person",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-12-16,2023-12-15,"Completed"
"26","CEI2023-001","Complaint External-Informal","Citizen Telephone Call",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-01-10,2023-01-10,"Completed"
"27","CEI2023-002","Complaint External-Informal","Citizen E-Mail","Officer",18886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Discourteous or disrespectful treatment of public",NA,2023-01-26,2023-01-14,"Completed"
"28","CEI2023-005","Complaint External-Informal","Citizen Telephone Call","Officer",19121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Discourteous or disrespectful treatment of public","No Misconduct",2023-04-04,2023-04-04,"Completed"
"29","CEI2023-006","Complaint External-Informal","Citizen Telephone Call","Officer",19078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Efficiency - Unsatisfactory work performance","No Misconduct",2023-03-22,2023-03-22,"Completed"
"30","CEI2023-007","Complaint External-Informal","Citizen Telephone Call","Officer",19303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Discourteous or disrespectful treatment of public",NA,2023-05-08,2023-05-09,"Completed"
"31","CEI2023-008","Complaint External-Formal","Employee","Officer",19381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Exceeding powers by unreasonable, unlawful or excessive conduct","Exonerated",2023-06-05,2023-06-03,"Completed"
"32","CEI2023-009","Complaint External-Informal","Citizen Telephone Call","Officer",19546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Discrimination, Oppression or Favoritism - Color","No Misconduct",2023-07-18,2023-06-09,"Completed"
"33","CEI2023-010","Complaint External-Informal","Employee","Officer",19530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Exceeding powers by unreasonable, unlawful or excessive conduct","No Misconduct",2023-07-13,2023-07-13,"Completed"
"34","CEI2023-011","Complaint External-Informal","Citizen Telephone Call","Officer",19608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Discourteous or disrespectful treatment of public","No Misconduct",2023-08-04,2023-08-03,"Completed"
"35","CEI2023-011","Complaint External-Informal","Citizen Telephone Call","Officer",19608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Unreasonable or unwarranted use of force","No Misconduct",2023-08-04,2023-08-03,"Completed"
"36","CEI2023-011","Complaint External-Informal","Citizen Telephone Call","Officer",19609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Discourteous or disrespectful treatment of public","No Misconduct",2023-08-04,2023-08-03,"Completed"
"37","CEI2023-011","Complaint External-Informal","Citizen Telephone Call","Officer",19609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Unreasonable or unwarranted use of force","No Misconduct",2023-08-04,2023-08-03,"Completed"
"38","CEI2023-011","Complaint External-Informal","Citizen Telephone Call","Officer",19610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Discourteous or disrespectful treatment of public","No Misconduct",2023-08-04,2023-08-03,"Completed"
"39","CEI2023-011","Complaint External-Informal","Citizen Telephone Call","Officer",19610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Unreasonable or unwarranted use of force","No Misconduct",2023-08-04,2023-08-03,"Completed"
"40","CEI2023-011","Complaint External-Informal","Citizen Telephone Call","Officer",19611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Discourteous or disrespectful treatment of public","No Misconduct",2023-08-04,2023-08-03,"Completed"
"41","CEI2023-011","Complaint External-Informal","Citizen Telephone Call","Officer",19611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Unreasonable or unwarranted use of force","No Misconduct",2023-08-04,2023-08-03,"Completed"
"42","CEI2023-013","Complaint External-Informal","Citizen E-Mail","Officer",19846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Discourteous or disrespectful treatment of public","No Misconduct",2023-10-03,2023-10-01,"Completed"
"43","CEI2023-013","Complaint External-Informal","Citizen E-Mail","Officer",19847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Discourteous or disrespectful treatment of public","No Misconduct",2023-10-03,2023-10-01,"Completed"
"44","CEI2023-014","Complaint External-Formal","Citizen Telephone Call","Officer",19967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Discourteous or disrespectful treatment of public","No Misconduct",2023-10-23,2023-10-19,"Completed"
"45","CEI2023-015","Complaint External-Informal","Citizen Telephone Call","Officer",19922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Discourteous or disrespectful treatment of public","Corrective Action",2023-10-15,2023-10-15,"Completed"
"46","CEI2023-016","Complaint External-Informal","Employee","Officer",19931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Exceeding powers by unreasonable, unlawful or excessive conduct","No Misconduct",2023-10-20,2023-09-19,"Completed"
"47","CEI2023-018","Complaint External-Informal","Citizen Telephone Call",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-21,2023-11-20,"Completed"
"48","CEI2023-019","Complaint External-Informal","Citizen Telephone Call","Officer",20115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Efficiency - Neglect of Duty","Unfounded",2023-11-18,2023-11-18,"Completed"
"49","CEI2023-019","Complaint External-Informal","Citizen Telephone Call","Officer",20116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Efficiency - Neglect of Duty","Unfounded",2023-11-18,2023-11-18,"Completed"
"50","CEI2023-020","Complaint External-Informal","Citizen E-Mail","Officer",20026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Discourteous or disrespectful treatment of public","Corrective Action",2023-11-02,2023-11-01,"Completed"
"51","CEI2023-022","Complaint External-Informal","Citizen Telephone Call","Officer",20272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Efficiency - Unsatisfactory work performance","No Misconduct",2023-12-13,2023-10-19,"Completed"
"52","CEI2023-024","Complaint External-Informal","Employee","Officer",20334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Unauthorized possession, loss, damage to property of others","No Misconduct",2023-12-27,2023-12-20,"Completed"
"53","CIF2023-001","Complaint Internal-Formal","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-02-09,2023-01-13,"Completed"
"54","CIF2023-002","Complaint Internal-Formal","Employee","Officer",18997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Laws, Rules, and Orders - Violation of policy","Sustained",2023-02-23,2023-02-19,"Completed"
"55","CIF2023-003","Complaint Internal-Formal","Supervisor","Officer",18989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Efficiency - Neglect of Duty","Sustained",2023-02-21,2023-02-21,"Completed"
"56","CIF2023-004","Complaint Internal-Formal","Supervisor","Officer",19071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Laws, Rules, and Orders - Violation of federal, state, local or admin laws, rules or regulations","Administrative",2023-03-21,2023-03-14,"Completed"
"57","CIF2023-005","Complaint Internal-Formal","Employee","Officer",19148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Laws, Rules and Orders - Volation of policy, procedure, rule, order, directive, requirement or City manuals","Administrative",2023-04-11,2023-04-11,"Completed"
"58","CIF2023-006","Complaint Internal-Formal","Supervisor","Officer",19259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Exceeding powers by unreasonable, unlawful or excessive conduct","Sustained",2023-04-21,2023-04-21,"Completed"
"59","CIF2023-007","Complaint Internal-Formal","Employee","Officer",19333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"* Use of Force","Exonerated",2023-05-22,2023-05-22,"Completed"
"60","CIF2023-008","Complaint Internal-Formal","Employee","Officer",19335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Laws, Rules, and Orders - Disobedience / Insubordination","Sustained",2023-05-22,2023-05-16,"Completed"
"61","CIF2023-009","Complaint Internal-Informal","Employee","Officer",19390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Attendance - Failure to report on time or fully prepared to perform duties without excuse","Corrective Action",2023-06-11,2023-06-11,"Completed"
"62","CIF2023-010","Complaint Internal-Formal","Supervisor","Officer",19616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Use of obscene, indecent, profane or derogatory language","Sustained",2023-08-07,2023-07-08,"Completed"
"63","CIF2023-010","Complaint Internal-Formal","Supervisor","Officer",19616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Safety - Failure to observe safety standards or safe working practices","Sustained",2023-08-07,2023-07-08,"Completed"
"64","CIF2023-012","Complaint Internal-Formal","Employee","Officer",19626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Efficiency - Neglect of Duty","Sustained",2023-08-09,2023-08-09,"Completed"
"65","CIF2023-012","Complaint Internal-Formal","Employee","Officer",19627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Efficiency - Neglect of Duty","Sustained",2023-08-09,2023-08-09,"Completed"
"66","CIF2023-014","Complaint Internal-Formal","Employee","Officer",19742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*EIS Review - Supervisor Requested","Administrative",2023-09-08,2023-09-08,"Completed"
"67","CIF2023-015","Complaint Internal-Formal","Employee","Officer",19807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Discourteous or disrespectful treatment of employee","Sustained",2023-09-25,2023-09-21,"Completed"
"68","CIF2023-016","Complaint Internal-Formal","Employee","Officer",19763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Attendance - Unexcused or unauthorized tardiness","Exceptional",2023-09-17,2023-09-16,"Completed"
"69","CIF2023-016","Complaint Internal-Formal","Employee","Officer",19763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ethics - Failure to abide by the standards of ethical conduct","Exceptional",2023-09-17,2023-09-16,"Completed"
"70","CIF2023-018","Complaint Internal-Formal","Supervisor","Officer",19984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Performance - Acts bringing discredit to the department (On Duty)","Sustained",2023-10-12,2023-10-10,"Completed"
"71","CIF2023-020","Complaint Internal-Formal","Supervisor","Officer",20005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Attendance - Unexcused or unauthorized tardiness","Exceptional",2023-10-31,2023-10-28,"Completed"
"72","CIF2023-021","Complaint Internal-Formal","Supervisor","Officer",20153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Attendance - Unexcused or unauthorized tardiness","Exceptional",2023-11-26,2023-11-26,"Completed"
"73","CIF2023-022","Complaint Internal-Formal","Supervisor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-16,2023-11-04,"Completed"
"74","CIF2024-001","Complaint Internal-Formal","Supervisor","Officer",20373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Laws, Rules, and Orders - Violation of federal, state, local or admin laws, rules or regulations","Sustained",2024-01-03,2023-12-26,"Completed"
"75","CII2023-001","Complaint Internal-Informal","Employee","Officer",19205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Other conduct contrary to good order, efficiency or morale","Exceptional",2023-04-18,2023-04-18,"Completed"
"76","CII2023-002","Complaint Internal-Informal","Supervisor","Officer",19128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Laws, Rules, and Orders - Disobedience / Insubordination","Exceptional",2023-04-05,2023-03-17,"Completed"
"77","CII2023-003","Complaint Internal-Informal","Employee","Officer",19257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Laws, Rules, and Orders - Violation of directive","Corrective Action",2023-04-07,2023-04-07,"Completed"
"78","CII2023-004","Complaint Internal-Informal","Employee","Officer",19317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Performance - Failure to disclose or misrepresenting material facts","Corrective Action",2023-05-03,2023-04-29,"Completed"
"79","CII2023-005","Complaint Internal-Informal","Employee","Officer",19285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Performance - Failure to disclose or misrepresenting material facts","Corrective Action",2023-05-03,2023-04-29,"Completed"
"80","CII2023-006","Complaint Internal-Informal","Employee","Officer",19439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Laws, Rules, and Orders - Violation of policy","Corrective Action",2023-06-20,2023-04-21,"Completed"
"81","CII2023-008","Complaint Internal-Informal","Supervisor","Officer",19750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Attendance - Failure to report on time or fully prepared to perform duties without excuse","Corrective Action",2023-09-11,2023-09-11,"Completed"
"82","CII2023-009","Complaint External-Informal","Supervisor","Officer",19710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Efficiency - Neglect of Duty","Corrective Action",2023-08-28,2023-08-28,"Completed"
"83","CII2023-010","Complaint External-Formal","Citizen Telephone Call","Officer",19770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Discourteous or disrespectful treatment of public","Sustained",2023-09-17,2023-09-17,"Completed"
"84","CII2023-012","Complaint External-Informal","Citizen Telephone Call","Officer",20010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Performance - Making disparaging remarks or conduct","No Misconduct",2023-10-31,2023-10-31,"Completed"
"85","CII2023-013","Complaint Internal-Informal","Supervisor","Officer",19798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Attendance - Unexcused or unauthorized tardiness","Corrective Action",2023-09-25,2023-09-25,"Completed"
"86","CII2023-014","Complaint External-Informal","Supervisor","Officer",20073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Attendance - Unexcused or unauthorized tardiness","Exceptional",2023-10-06,2023-10-06,"Completed"
"87","CII2023-015","Complaint Internal-Informal","Supervisor","Officer",20028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Attendance - Unexcused or unauthorized tardiness","Exceptional",2023-11-02,2023-10-29,"Completed"
"88","UF2023-001","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-01-05,2023-01-05,"Completed"
"89","UF2023-002","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-01-16,2023-01-16,"Completed"
"90","UF2023-003","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-01-11,2023-01-11,"Completed"
"91","UF2023-004","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-01-29,2023-01-26,"Completed"
"92","UF2023-005","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-02-17,2023-02-17,"Completed"
"93","UF2023-006","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-01-24,2023-01-24,"Completed"
"94","UF2023-007","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-01-17,2023-01-17,"Completed"
"95","UF2023-008","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-03-05,2023-03-05,"Completed"
"96","UF2023-009","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-03-01,2023-02-28,"Completed"
"97","UF2023-010","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-03-03,2023-03-03,"Completed"
"98","UF2023-011","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-03-04,2023-03-03,"Completed"
"99","UF2023-012","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-03-23,2023-03-23,"Completed"
"100","UF2023-013","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-03-20,2023-03-19,"Completed"
"101","UF2023-014","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-03-15,2023-03-15,"Completed"
"102","UF2023-015","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-04-08,2023-04-08,"Completed"
"103","UF2023-016","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-03-09,2023-03-09,"Completed"
"104","UF2023-017","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-03-18,2023-03-18,"Completed"
"105","UF2023-018","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-04-24,2023-04-24,"Completed"
"106","UF2023-019","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-04-12,2023-04-11,"Completed"
"107","UF2023-020","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-04-01,2023-04-01,"Completed"
"108","UF2023-021","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-05-24,2023-05-22,"Completed"
"109","UF2023-022","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-05-13,2023-05-13,"Completed"
"110","UF2023-023","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-06-01,2023-06-01,"Completed"
"111","UF2023-024","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-05-16,2023-05-16,"Completed"
"112","UF2023-025","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-05-31,2023-05-31,"Completed"
"113","UF2023-026","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-06-14,2023-06-15,"Completed"
"114","UF2023-027","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-05-13,2023-05-13,"Completed"
"115","UF2023-028","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-06-17,2023-06-17,"Completed"
"116","UF2023-029","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-06-15,2023-06-15,"Completed"
"117","UF2023-030","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-05-09,2023-05-09,"Completed"
"118","UF2023-031","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-04-03,2023-04-03,"Completed"
"119","UF2023-032","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-01,2023-07-01,"Completed"
"120","UF2023-033","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-06-26,2023-06-25,"Completed"
"121","UF2023-034","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-06,2023-07-05,"Completed"
"122","UF2023-035","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-06-22,2023-06-21,"Completed"
"123","UF2023-036","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-06-16,2023-06-16,"Completed"
"124","UF2023-037","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-08,2023-07-08,"Completed"
"125","UF2023-038","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-11,2023-07-11,"Completed"
"126","UF2023-039","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-31,2023-07-31,"Completed"
"127","UF2023-040","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-10,2023-08-10,"Completed"
