CaseNumber,ReportedDate,OffenseDate,Counts,IBRSeqNumber,IBRCrimeCode,Statute,Description,OffenseID
2023-00059854,9/8/2023,9/8/2023,1,1,90Z,24-305,UNDER INFLUENCE/NARC,-1045314
2023-00088006,12/31/2023,12/31/2023,1,3,13B,J24-401,JV ASSAULT & BATTERY,-1045290
2023-00088006,12/31/2023,12/31/2023,1,2,13B,24-401,ASSAULT & BATTERY,-1045289
2023-00088035,12/31/2023,12/31/2023,1,1,13B,24-401,ASSAULT & BATTERY,-1045282
2023-00088060,12/31/2023,12/31/2023,1,2,90E,24-202,PUBLIC INTOX,-1045280
2023-00087815,12/30/2023,12/30/2023,1,1,90E,24-202,PUBLIC INTOX,-1045279
2023-00087266,12/28/2023,12/28/2023,1,1,35A,63-2.402.B.1,POSSESSION OF CDS,-1045278
2023-00087762,12/30/2023,12/30/2023,1,1,23H,21-1701,LARCENY (ALL OTHER LARCENY),-1045265
2023-00085974,12/21/2023,12/20/2023,1,1,23C,24-503,PETTY LARCENY,-1045263
2023-00087635,12/29/2023,12/29/2023,1,2,90E,24-202,PUBLIC INTOX,-1045252
2023-00087829,12/30/2023,12/30/2023,1,3,90E,J24-202,JV PUBLIC INTOX,-1045246
2023-00087604,12/29/2023,12/29/2023,1,2,90E,24-202,PUBLIC INTOX,-1045245
2023-00087604,12/29/2023,12/29/2023,1,1,35A,24-307,POSS/MARIJ,-1045244
2023-00002949,1/14/2023,1/14/2023,1,1,80N,PUBLICDOC,PUBLIC DOCUMENTATION,-1045215
2023-00087329,12/28/2023,12/28/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1045214
2023-00087796,12/30/2023,12/30/2023,1,1,23C,24-503,PETTY LARCENY,-1045213
2023-00087826,12/30/2023,12/30/2023,1,1,90Z,24-403,DIST THE PEACE,-1045212
2023-00086383,12/23/2023,1/1/2024,1,2,83D,RUNAWAYLOC,RUNAWAY-LOCATED/RECOVERED (OUTSIDE AGENCY),-1045206
2023-00087700,12/30/2023,12/30/2023,1,5,520,21-1287,POSSESS FIREARMS / WEAPON WHILE COMMITING FELONY,-1045196
2023-00087700,12/30/2023,12/30/2023,1,4,13A,21-645,ASSAULT &/OR BATTERY W/DANGEROUS WEAPON,-1045195
2023-00087700,12/30/2023,12/30/2023,1,3,13A,21-652.C,ASSAULT/BATTERY WITH DEADLY WEAPON,-1045194
2023-00087700,12/30/2023,12/30/2023,1,2,90Z,21-540,OBSTRUCTING OFFICER,-1045193
2023-00087700,12/30/2023,12/30/2023,1,1,520,21-1289.9,CARRYING FIREARMS WHILE UNDER THE INFLUENCE,-1045192
2023-00087827,12/30/2023,12/30/2023,1,2,370,21-1040.8,PUBLISH/DISTRIBUTE/PARTICIPATE - OBSCENE MATERIAL,-1045191
2023-00087827,12/30/2023,12/30/2023,1,1,13C,21-641,ASSAULT / THREATS (INTIMIDATION),-1045190
2023-00087918,12/31/2023,12/31/2023,1,2,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,-1045189
2023-00087918,12/31/2023,12/31/2023,2,1,13A,21-650.2,"AGGRAVATED A & B ON STATE EMPLOYEE (DOC,DHS,OJA,PRISON CONTRACTOR)",-1045188
2023-00087726,12/30/2023,12/30/2023,1,1,13B,21-644.C,DOMESTIC ABUSE (SIMPLE ASSAULT),-1045187
2023-00084601,12/15/2023,12/15/2023,1,2,90Z,21-540,OBSTRUCTING OFFICER,-1045180
2023-00084601,12/15/2023,12/15/2023,1,1,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,-1045179
2023-00087852,12/30/2023,12/30/2023,1,2,90Z,21-540,OBSTRUCTING OFFICER,-1045176
2023-00087852,12/30/2023,12/30/2023,1,1,90D,47-11.902,DUI - LIQUOR OR DRUGS/APCV,-1045175
2023-00082300,12/6/2023,12/27/2023,1,2,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,-1045173
2023-00088006,12/31/2023,12/31/2023,2,1,88C,OWARR,WARRANT-OTHER,-1045172
2023-00088063,12/31/2023,12/31/2023,1,1,90Z,24-403,DIST THE PEACE,-1045171
2023-00088007,12/31/2023,12/31/2023,1,1,90J,24-505,TRESPASSING,-1045170
2023-00087987,12/31/2023,12/31/2023,1,2,90J,24-505,TRESPASSING,-1045169
2023-00087898,12/31/2023,12/31/2023,1,1,90J,24-505,TRESPASSING,-1045167
2023-00087792,12/30/2023,12/30/2023,1,3,90J,24-505,TRESPASSING,-1045166
2023-00087792,12/30/2023,12/30/2023,1,2,90E,24-202,PUBLIC INTOX,-1045165
2023-00087792,12/30/2023,12/30/2023,1,1,35A,24-307,POSS/MARIJ,-1045164
2023-00087623,12/29/2023,12/29/2023,1,1,90J,24-505,TRESPASSING,-1045163
2023-00087249,12/27/2023,12/27/2023,1,3,86R,RECOVEREDVEH,"RECOVERED - AUTO, AIRCRAFT, OR OTHER MOTOR VEHICLE",-1045162
2023-00087783,12/30/2023,12/30/2023,1,1,86P,UNATDTH,UNATTENDED / ATTENDED DEATH,-1045161
2023-00087860,12/30/2023,12/30/2023,1,1,86P,UNATDTH,UNATTENDED / ATTENDED DEATH,-1045157
2023-00087308,12/28/2023,12/28/2023,1,1,23H,21-1701,LARCENY (ALL OTHER LARCENY),-1045154
2023-00087538,12/29/2023,12/27/2023,1,1,23H,21-1706,PETIT LARCENY (ALL OTHER LARCENY),-1045153
2023-00087732,12/30/2023,12/30/2023,1,1,23C,24-503,PETTY LARCENY,-1045152
2023-00087836,12/30/2023,12/30/2023,1,1,23H,21-1702,LARCENY OF LOST PROPERTY (ALL OTHER LARCENY),-1045151
2023-00085014,12/17/2023,12/17/2023,1,1,23H,21-1706,PETIT LARCENY (ALL OTHER LARCENY),-1045150
2023-00087962,12/31/2023,12/31/2023,1,1,23C,21-1701,LARCENY (SHOPLIFTING),-1045149
2023-00087730,12/30/2023,12/29/2023,1,1,23H,20-1740.2,PORCH PIRACY ACT OF 2020,-1045148
2023-00087971,12/31/2023,12/24/2023,1,1,23H,20-1740.2,PORCH PIRACY ACT OF 2020,-1045147
2023-00086641,12/24/2023,12/24/2023,1,1,86D,4-201,ANIMAL WELFARE VIOL,-1045146
2023-00085191,12/18/2023,12/16/2023,1,1,23H,21-1701,LARCENY (ALL OTHER LARCENY),-1045145
2023-00069251,10/14/2023,10/14/2023,1,1,86C,4-403,ANIMAL BITE,-1045144
2023-00087764,12/30/2023,12/29/2023,1,1,23H,21-51.3,PETIT LARCENY AFCF  (ALL OTHER LARCENY),-1045143
2023-00087540,12/29/2023,12/29/2023,1,1,23C,21-1705,GRAND LARCENY (SHOPLIFTING),-1045142
2023-00087992,12/31/2023,12/31/2023,1,1,86G,FOUNDPROP,FOUND PROPERTY,-1045141
2023-00087545,12/29/2023,12/29/2023,1,1,86G,FOUNDPROP,FOUND PROPERTY,-1045140
2023-00087831,12/30/2023,12/30/2023,1,1,86G,FOUNDPROP,FOUND PROPERTY,-1045139
2023-00087920,12/31/2023,12/24/2023,1,1,86G,FOUNDPROP,FOUND PROPERTY,-1045138
2023-00087838,12/30/2023,12/30/2023,1,1,86G,FOUNDPROP,FOUND PROPERTY,-1045137
2023-00087572,12/29/2023,12/27/2023,1,1,26B,21-1550.25,FRAUDULENT USE OF CREDIT CARD NUMBER,-1045136
2023-00087605,12/29/2023,12/29/2023,1,5,35B,63-2.405,UNLAWFUL POSSESSION OF PARAPHERNALIA,-1045135
2023-00087605,12/29/2023,12/29/2023,1,4,90Z,47-7.606,FAILURE TO MAINTAIN SECURITY / INSURANCE,-1045134
2023-00087605,12/29/2023,12/29/2023,1,3,35B,63-2.405,UNLAWFUL POSSESSION OF PARAPHERNALIA,-1045133
2023-00087605,12/29/2023,12/29/2023,1,2,87F,47-6.303,DRIVING WITH LIC. CANCELED/SUSPENDED/REVOKED - DUS,-1045132
2023-00087605,12/29/2023,12/29/2023,1,1,90D,47-11.902,DUI - LIQUOR OR DRUGS/APCV,-1045131
2023-00087902,12/31/2023,12/31/2023,1,1,26B,21-1550.39,USE OF A DEVICE TO ACCESS CARD INFORMATION,-1045130
2023-00087589,12/29/2023,12/22/2022,1,1,26C,21-1501,SECURING CREDIT FRAUDENTLY (IMPERSONATION),-1045129
2023-00087529,12/29/2023,12/29/2023,1,1,26C,21-1533.1,FRAUDULENTLY OBTAINING PERSONAL IDENTITY OF OTHERS (IMPERSONATION),-1045128
2023-00085205,12/18/2023,12/15/2023,1,1,26C,21-1533.1,FRAUDULENTLY OBTAINING PERSONAL IDENTITY OF OTHERS (IMPERSONATION),-1045127
2023-00087549,12/29/2023,11/29/2023,1,2,23H,20-1740.2,PORCH PIRACY ACT OF 2020,-1045126
2023-00087549,12/29/2023,11/29/2023,1,1,26C,21-1533.1,FRAUDULENTLY OBTAINING PERSONAL IDENTITY OF OTHERS (IMPERSONATION),-1045125
2023-00087568,12/29/2023,12/29/2023,1,1,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1045124
2023-00087972,12/31/2023,12/30/2023,1,1,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1045123
2023-00087533,12/29/2023,12/29/2023,1,1,35A,24-307,POSS/MARIJ,-1045122
2023-00087934,12/31/2023,12/31/2023,1,1,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1045121
2023-00088036,12/31/2023,12/31/2023,1,2,290,DAMAGEDPROP,DAMAGED PROPERTY,-1045120
2023-00088036,12/31/2023,12/31/2023,1,1,220,21-1438,ENTER STRUCTURE W/CERTAIN INTENT - BREAK AND ENTER (BURGLARY),-1045119
2023-00087888,12/31/2023,12/31/2023,1,2,290,DAMAGEDPROP,DAMAGED PROPERTY,-1045118
2023-00087888,12/31/2023,12/31/2023,1,1,220,21-1435.A,BURGLARY - SECOND DEGREE (BURGLARY),-1045117
2023-00087362,12/28/2023,12/27/2023,1,2,290,DAMAGEDPROP,DAMAGED PROPERTY,-1045115
2023-00087362,12/28/2023,12/27/2023,1,1,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1045114
2023-00087542,12/29/2023,12/28/2023,1,1,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1045113
2023-00087570,12/29/2023,12/29/2023,1,5,88A,CWARR,WARRANT-CLEV COUNTY,-1045112
2023-00087570,12/29/2023,12/29/2023,1,4,90Z,21-267,INTERFERRING WITH AN OFFICER (ALL OTHER OFFENSES),-1045111
2023-00087570,12/29/2023,12/29/2023,2,3,13A,21-650,AGGRAVATED  A& B ON POLICE OFFICER (AGGRAVATED ASSAULT),-1045110
2023-00087570,12/29/2023,12/29/2023,1,2,90Z,21-444,ESCAPE AFTER LAWFUL ARREST / RESISTING,-1045109
2023-00087570,12/29/2023,12/29/2023,1,1,90J,21-1835,TRESPASSING AFTER BEING FORBIDDEN,-1045108
2023-00087933,12/31/2023,12/31/2023,1,2,290,DAMAGEDPROP,DAMAGED PROPERTY,-1045107
2023-00087933,12/31/2023,12/31/2023,1,1,220,21-1435.A,BURGLARY - SECOND DEGREE (BURGLARY),-1045106
2023-00087996,12/31/2023,4/1/2023,1,1,220,21-1435.A,BURGLARY - SECOND DEGREE (BURGLARY),-1045105
2023-00087704,12/30/2023,12/30/2023,1,2,290,DAMAGEDPROP,DAMAGED PROPERTY,-1045102
2023-00087704,12/30/2023,12/30/2023,1,1,220,21-1431,BURGLARY - FIRST DEGREE,-1045101
2023-00087489,12/29/2023,12/29/2023,1,1,80N,PUBLICDOC,PUBLIC DOCUMENTATION,-1045100
2023-00087735,12/30/2023,12/30/2023,1,1,80N,PUBLICDOC,PUBLIC DOCUMENTATION,-1045099
2023-00087786,12/30/2023,12/30/2023,1,1,86S,OFINFO,OFFICERS INFORMATION,-1045098
2023-00087664,12/30/2023,12/30/2023,1,1,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,-1045097
2023-00087769,12/30/2023,12/30/2023,1,1,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,-1045096
2023-00087776,12/30/2023,12/30/2023,1,1,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,-1045095
2023-00075439,11/8/2023,11/8/2023,1,1,86S,OFINFO,OFFICERS INFORMATION,-1045094
2023-00088060,12/31/2023,12/31/2023,1,1,90D,47-11.902,DUI - LIQUOR OR DRUGS/APCV,-1045093
2023-00087658,12/30/2023,12/30/2023,1,6,520,21-1289.9,CARRYING FIREARMS WHILE UNDER THE INFLUENCE,-1045092
2023-00087658,12/30/2023,12/30/2023,1,5,35A,63-2.402.B.2,POSSESSION OF MARIJUANA,-1045091
2023-00087658,12/30/2023,12/30/2023,1,4,35A,63-2.402.B.1,POSSESSION OF CDS,-1045090
2023-00087658,12/30/2023,12/30/2023,1,3,90G,37-537.A7,TRANSPORTING OPEN BOTTLE OR CONTAINER - LIQUOR,-1045089
2023-00087658,12/30/2023,12/30/2023,1,2,90E,37-8,PUBLIC INTOXICATION,-1045088
2023-00087658,12/30/2023,12/30/2023,1,1,87F,47-6.303,DRIVING WITH LIC. CANCELED/SUSPENDED/REVOKED - DUS,-1045087
2023-00088048,12/31/2023,12/31/2023,1,2,90G,37-537.A7,TRANSPORTING OPEN BOTTLE OR CONTAINER - LIQUOR,-1045086
2023-00088048,12/31/2023,12/31/2023,1,1,90D,47-11.902,DUI - LIQUOR OR DRUGS/APCV,-1045085
2023-00086387,12/23/2023,12/23/2023,1,1,90Z,22-60.6,PROTECTIVE ORDER VIOLATION / VPO,-1045084
2023-00088053,12/31/2023,12/31/2023,1,2,86R,47-4.102,UNAUTHORIZED USE OF A VEHICLE / UUMV (RECOVERY FROM OTHER AGENCY),-1045083
2023-00088053,12/31/2023,12/31/2023,1,1,35A,63-2.402.B.1,POSSESSION OF CDS,-1045082
2023-00087890,12/31/2023,12/31/2023,1,1,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,-1045081
2023-00087701,12/30/2023,12/29/2023,1,1,86P,UNATDTH,UNATTENDED / ATTENDED DEATH,-1045080
2023-00087928,12/31/2023,12/30/2023,1,1,86P,UNATDTH,UNATTENDED / ATTENDED DEATH,-1045077
2023-00087877,12/31/2023,12/31/2023,1,1,90D,47-11.902,DUI - LIQUOR OR DRUGS/APCV,-1045074
2023-00087729,12/30/2023,12/30/2023,1,1,90Z,21-1172,OBSCENE/THREATENING/HARASSING PHONE CALL (ALL OTHER OFFENSES),-1045073
2023-00086159,12/22/2023,12/22/2023,1,1,13C,21-1172,OBSCENE/THREATENING/HARASSING PHONE CALL (INTIMIDATION),-1045072
2023-00087714,12/30/2023,12/30/2023,1,1,90Z,21-1172,OBSCENE/THREATENING/HARASSING PHONE CALL (ALL OTHER OFFENSES),-1045071
2023-00087482,12/29/2023,12/29/2023,1,1,13B,21-644.G,DOMESTIC ABUSE IN PRESENCE OF MINOR CHILD (SIMPLE ASSAULT),-1045070
2023-00087859,12/30/2023,12/30/2023,1,1,90D,47-11.902,DUI - LIQUOR OR DRUGS/APCV,-1045069
2023-00086482,12/23/2023,12/23/2023,1,1,13B,J24-401,JV ASSAULT & BATTERY,-1045068
2023-00087562,12/29/2023,12/29/2023,1,1,13B,21-642,BATTERY (SIMPLE ASSAULT),-1045067
2023-00087813,12/30/2023,12/30/2023,1,1,11D,21-843.5.F,SEXUAL ABUSE - CHILD UNDER 12 (FORCIBLE FONDLING),-1045066
2023-00087543,12/29/2023,12/24/2023,1,2,90Z,10-7102,CHILD ABUSE,-1045065
2023-00087543,12/29/2023,12/24/2023,1,1,13A,21-644.E,DOMESTIC ABUSE AGAINST A PREGNANT WOMAN (AGGRAVATED ASSAULT),-1045064
2023-00087748,12/30/2023,12/29/2023,1,1,240,47-4.102,UNAUTHORIZED USE OF A VEHICLE / UUMV FROM NPD (MOTOR VEHICLE THEFT),-1045063
2023-00087779,12/30/2023,12/29/2023,1,2,90Z,21-267,INTERFERRING WITH AN OFFICER (ALL OTHER OFFENSES),-1045062
2023-00087779,12/30/2023,12/29/2023,1,1,220,21-1435.A,BURGLARY - SECOND DEGREE (BURGLARY),-1045061
2023-00087887,12/31/2023,12/31/2023,1,2,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1045060
2023-00087887,12/31/2023,12/31/2023,1,1,240,21-1720,LARCENY OF AUTO,-1045059
2023-00087881,12/31/2023,12/30/2023,1,1,240,21-1720,LARCENY OF AUTO,-1045058
2023-00087791,12/30/2023,12/30/2023,1,2,83D,RUNAWAYLOC,RUNAWAY-LOCATED/RECOVERED (OUTSIDE AGENCY),-1045057
2023-00087598,12/29/2023,8/1/2023,1,3,13C,21-1173,STALKING (INTIMIDATION),-1045056
2023-00087598,12/29/2023,8/1/2023,2,2,13A,21-644.G,DOMESTIC ABUSE IN PRESENCE OF MINOR CHILD (AGGRAVATED ASSAULT),-1045055
2023-00087598,12/29/2023,8/1/2023,1,1,13A,21-644.J,DOMESTIC ABUSE BY STRANGULATION (AGGRAVATED ASSAULT),-1045054
2024-90000004,12/30/2023,12/30/2023,1,1,23E,21-1435.A,BURGLARY - SECOND DEGREE (THEFT FROM COIN OPERATED VENDING MACHINE OR DEVICE),-1045053
2024-90000003,12/30/2023,12/30/2023,1,1,13C,21-1172,OBSCENE/THREATENING/HARASSING PHONE CALL (INTIMIDATION),-1045052
2024-90000002,12/29/2023,12/29/2023,1,1,23C,21-1701,LARCENY (SHOPLIFTING),-1045051
2024-90000001,12/28/2023,12/28/2023,1,1,23E,21-1435.A,BURGLARY - SECOND DEGREE (THEFT FROM COIN OPERATED VENDING MACHINE OR DEVICE),-1045050
2023-00087791,12/30/2023,12/29/2023,1,1,90I,RUNAWA,RUNAWAY,-1045049
2023-00087595,12/29/2023,12/28/2023,1,1,83B,MISPER,MISSING PERSON,-1045048
2023-00087778,12/30/2023,12/30/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1045047
2023-00087844,12/30/2023,12/30/2023,1,1,83B,MISPER,MISSING PERSON,-1045046
2023-00088069,12/31/2023,12/31/2023,1,1,90I,RUNAWA,RUNAWAY,-1045045
2023-00087563,12/29/2023,12/29/2023,7,1,88B,MWARR,WARRANT-MUNICIPAL (NORMAN),-1045044
2023-00087883,12/31/2023,12/31/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1045043
2023-00087676,12/30/2023,12/30/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1045042
2023-00087874,12/31/2023,12/31/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1045041
2023-00087788,12/30/2023,12/30/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1045040
2023-00087907,12/31/2023,12/31/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1045039
2023-00087507,12/29/2023,12/29/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1045038
