CaseNumber,ReportedDate,OffenseDate,Counts,IBRSeqNumber,IBRCrimeCode,Statute,Description,OffenseID,Bias
2023-00087399,12/28/2023,12/28/2023,1,3,120,21-801,ROBBERY OR ATTEMPTED W/ DANGEROUS WEAPON,-1045865,NA
2023-00046289,7/14/2023,7/14/2023,1,3,09A,21-701.7,MURDER FIRST DEGREE,-1045835,NA
2023-00077534,11/16/2023,7/8/2023,1,1,86S,OFINFO,OFFICERS INFORMATION,-1045819,NA
2023-00081979,12/4/2023,11/29/2023,1,1,26A,21-1541.1,ATTEMPT / OBTAIN PROPERTY BY FALSE PRETENSE <$500,-1045720,NA
2023-00064097,9/25/2023,9/24/2023,1,2,90F,21-843.5.C,CHILD NEGLECT,-1045687,NA
2023-00087844,12/30/2023,1/14/2024,1,2,83B,MISPER,MISSING PERSON,-1045662,NA
2023-00084216,12/14/2023,12/14/2023,1,1,86C,4-403,ANIMAL BITE,-1045580,NA
2023-00088070,12/31/2023,12/31/2023,1,1,90Z,24-403,DIST THE PEACE,-1045557,NA
2023-00087365,12/28/2023,12/28/2023,1,1,86D,4-603,NUISANCE ANIMAL,-1045554,NA
2023-00086960,12/26/2023,12/26/2023,1,1,90J,J24-505,JV TRESPASSING,-1045552,NA
2023-00074948,11/6/2023,9/14/2023,4,1,11A,21-843.5,"CAUSE/PROCURE/PERMIT ABUSE, NEGLECT, EXPLOITATION, OR SEXUAL ABUSE OF CHILD (FORCIBLE RAPE)",-1045533,NA
2023-00086635,12/24/2023,12/24/2023,1,1,23C,24-503,PETTY LARCENY,-1045487,NA
2023-00086545,12/24/2023,12/24/2023,1,1,90E,24-202,PUBLIC INTOX,-1045486,NA
2023-00086355,12/23/2023,12/23/2023,1,2,90Z,24-602,INTER W/OFF PROC,-1045474,NA
2023-00086355,12/23/2023,12/23/2023,1,1,90J,24-505,TRESPASSING,-1045473,NA
2023-00086240,12/22/2023,12/21/2023,1,1,86D,4-503,CONFINEMENT/AT LARGE,-1045471,NA
2023-00085770,12/20/2023,12/20/2023,1,1,23C,24-503,PETTY LARCENY,-1045469,NA
2023-00086005,12/21/2023,12/21/2023,1,1,90Z,24-310,OUTRAGING PUB DEC,-1045467,NA
2023-00085800,12/20/2023,12/20/2023,1,1,90E,24-202,PUBLIC INTOX,-1045462,NA
2023-00085220,12/18/2023,12/18/2023,1,1,86D,4-503,CONFINEMENT/AT LARGE,-1045454,NA
2023-00084880,12/17/2023,12/17/2023,1,1,90E,24-202,PUBLIC INTOX,-1045451,NA
2023-00087456,12/29/2023,12/29/2023,1,1,86S,OFINFO,OFFICERS INFORMATION,-1045433,NA
2023-00084920,12/17/2023,12/17/2023,1,2,90Z,22-60.6,PROTECTIVE ORDER VIOLATION / VPO,-1045415,NA
2023-00087774,12/30/2023,12/30/2023,1,1,90Z,21-1953,COMPUTER FRAUD/UNLAWFUL USE OF COMPUTER/SYSTEM (ALL OTHER OFFENSES),-1045381,NA
2023-00083570,12/11/2023,1/4/2024,1,3,90Z,13-176.3,VIOLATING SECURITY OF COMMUNICATIONS,-1045380,NA
2023-00087474,12/29/2023,12/29/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1045376,NA
2023-00088064,12/31/2023,12/31/2023,1,3,290,24-502,MOLESTING PROP,-1045371,NA
2023-00088064,12/31/2023,12/31/2023,1,2,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,-1045369,NA
2023-00088064,12/31/2023,12/31/2023,1,1,90Z,22-60.6,PROTECTIVE ORDER VIOLATION / VPO,-1045368,NA
2023-00087950,12/31/2023,12/31/2023,1,2,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,-1045358,NA
2023-00087950,12/31/2023,12/31/2023,1,1,13B,24-401,ASSAULT & BATTERY,-1045357,NA
2023-00087536,12/29/2023,12/29/2023,1,1,86S,OFINFO,OFFICERS INFORMATION,-1045355,NA
2023-00059854,9/8/2023,9/8/2023,1,1,90Z,24-305,UNDER INFLUENCE/NARC,-1045314,NA
2023-00088006,12/31/2023,12/31/2023,1,3,13B,J24-401,JV ASSAULT & BATTERY,-1045290,NA
2023-00088006,12/31/2023,12/31/2023,1,2,13B,24-401,ASSAULT & BATTERY,-1045289,NA
2023-00088035,12/31/2023,12/31/2023,1,1,13B,24-401,ASSAULT & BATTERY,-1045282,NA
2023-00088060,12/31/2023,12/31/2023,1,2,90E,24-202,PUBLIC INTOX,-1045280,NA
2023-00087815,12/30/2023,12/30/2023,1,1,90E,24-202,PUBLIC INTOX,-1045279,NA
2023-00087266,12/28/2023,12/28/2023,1,1,35A,63-2.402.B.1,POSSESSION OF CDS,-1045278,NA
2023-00087762,12/30/2023,12/30/2023,1,1,23H,21-1701,LARCENY (ALL OTHER LARCENY),-1045265,NA
2023-00085974,12/21/2023,12/20/2023,1,1,23C,24-503,PETTY LARCENY,-1045263,NA
2023-00087635,12/29/2023,12/29/2023,1,2,90E,24-202,PUBLIC INTOX,-1045252,NA
2023-00087829,12/30/2023,12/30/2023,1,3,90E,J24-202,JV PUBLIC INTOX,-1045246,NA
2023-00087604,12/29/2023,12/29/2023,1,2,90E,24-202,PUBLIC INTOX,-1045245,NA
2023-00087604,12/29/2023,12/29/2023,1,1,35A,24-307,POSS/MARIJ,-1045244,NA
2023-00002949,1/14/2023,1/14/2023,1,1,80N,PUBLICDOC,PUBLIC DOCUMENTATION,-1045215,NA
2023-00087329,12/28/2023,12/28/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1045214,NA
2023-00087796,12/30/2023,12/30/2023,1,1,23C,24-503,PETTY LARCENY,-1045213,NA
2023-00087826,12/30/2023,12/30/2023,1,1,90Z,24-403,DIST THE PEACE,-1045212,NA
2023-00086383,12/23/2023,1/1/2024,1,2,83D,RUNAWAYLOC,RUNAWAY-LOCATED/RECOVERED (OUTSIDE AGENCY),-1045206,NA
2023-00087700,12/30/2023,12/30/2023,1,5,520,21-1287,POSSESS FIREARMS / WEAPON WHILE COMMITING FELONY,-1045196,NA
2023-00087700,12/30/2023,12/30/2023,1,4,13A,21-645,ASSAULT &/OR BATTERY W/DANGEROUS WEAPON,-1045195,NA
2023-00087700,12/30/2023,12/30/2023,1,3,13A,21-652.C,ASSAULT/BATTERY WITH DEADLY WEAPON,-1045194,NA
2023-00087700,12/30/2023,12/30/2023,1,2,90Z,21-540,OBSTRUCTING OFFICER,-1045193,NA
2023-00087700,12/30/2023,12/30/2023,1,1,520,21-1289.9,CARRYING FIREARMS WHILE UNDER THE INFLUENCE,-1045192,NA
2023-00087827,12/30/2023,12/30/2023,1,2,370,21-1040.8,PUBLISH/DISTRIBUTE/PARTICIPATE - OBSCENE MATERIAL,-1045191,NA
2023-00087827,12/30/2023,12/30/2023,1,1,13C,21-641,ASSAULT / THREATS (INTIMIDATION),-1045190,NA
2023-00087918,12/31/2023,12/31/2023,1,2,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,-1045189,NA
2023-00087918,12/31/2023,12/31/2023,2,1,13A,21-650.2,"AGGRAVATED A & B ON STATE EMPLOYEE (DOC,DHS,OJA,PRISON CONTRACTOR)",-1045188,NA
2023-00087726,12/30/2023,12/30/2023,1,1,13B,21-644.C,DOMESTIC ABUSE (SIMPLE ASSAULT),-1045187,NA
2023-00084601,12/15/2023,12/15/2023,1,2,90Z,21-540,OBSTRUCTING OFFICER,-1045180,NA
2023-00084601,12/15/2023,12/15/2023,1,1,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,-1045179,NA
2023-00087852,12/30/2023,12/30/2023,1,2,90Z,21-540,OBSTRUCTING OFFICER,-1045176,NA
2023-00087852,12/30/2023,12/30/2023,1,1,90D,47-11.902,DUI - LIQUOR OR DRUGS/APCV,-1045175,NA
2023-00082300,12/6/2023,12/27/2023,1,2,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,-1045173,NA
2023-00088006,12/31/2023,12/31/2023,2,1,88C,OWARR,WARRANT-OTHER,-1045172,NA
2023-00088063,12/31/2023,12/31/2023,1,1,90Z,24-403,DIST THE PEACE,-1045171,NA
2023-00088007,12/31/2023,12/31/2023,1,1,90J,24-505,TRESPASSING,-1045170,NA
2023-00087987,12/31/2023,12/31/2023,1,2,90J,24-505,TRESPASSING,-1045169,NA
2023-00087898,12/31/2023,12/31/2023,1,1,90J,24-505,TRESPASSING,-1045167,NA
2023-00087792,12/30/2023,12/30/2023,1,3,90J,24-505,TRESPASSING,-1045166,NA
2023-00087792,12/30/2023,12/30/2023,1,2,90E,24-202,PUBLIC INTOX,-1045165,NA
2023-00087792,12/30/2023,12/30/2023,1,1,35A,24-307,POSS/MARIJ,-1045164,NA
2023-00087623,12/29/2023,12/29/2023,1,1,90J,24-505,TRESPASSING,-1045163,NA
2023-00087249,12/27/2023,12/27/2023,1,3,86R,RECOVEREDVEH,"RECOVERED - AUTO, AIRCRAFT, OR OTHER MOTOR VEHICLE",-1045162,NA
2023-00087783,12/30/2023,12/30/2023,1,1,86P,UNATDTH,UNATTENDED / ATTENDED DEATH,-1045161,NA
2023-00087860,12/30/2023,12/30/2023,1,1,86P,UNATDTH,UNATTENDED / ATTENDED DEATH,-1045157,NA
2023-00087308,12/28/2023,12/28/2023,1,1,23H,21-1701,LARCENY (ALL OTHER LARCENY),-1045154,NA
2023-00087538,12/29/2023,12/27/2023,1,1,23H,21-1706,PETIT LARCENY (ALL OTHER LARCENY),-1045153,NA
2023-00087732,12/30/2023,12/30/2023,1,1,23C,24-503,PETTY LARCENY,-1045152,NA
2023-00087836,12/30/2023,12/30/2023,1,1,23H,21-1702,LARCENY OF LOST PROPERTY (ALL OTHER LARCENY),-1045151,NA
2023-00085014,12/17/2023,12/17/2023,1,1,23H,21-1706,PETIT LARCENY (ALL OTHER LARCENY),-1045150,NA
2023-00087962,12/31/2023,12/31/2023,1,1,23C,21-1701,LARCENY (SHOPLIFTING),-1045149,NA
2023-00087730,12/30/2023,12/29/2023,1,1,23H,20-1740.2,PORCH PIRACY ACT OF 2020,-1045148,NA
2023-00087971,12/31/2023,12/24/2023,1,1,23H,20-1740.2,PORCH PIRACY ACT OF 2020,-1045147,NA
2023-00086641,12/24/2023,12/24/2023,1,1,86D,4-201,ANIMAL WELFARE VIOL,-1045146,NA
2023-00085191,12/18/2023,12/16/2023,1,1,23H,21-1701,LARCENY (ALL OTHER LARCENY),-1045145,NA
2023-00069251,10/14/2023,10/14/2023,1,1,86C,4-403,ANIMAL BITE,-1045144,NA
2023-00087764,12/30/2023,12/29/2023,1,1,23H,21-51.3,PETIT LARCENY AFCF  (ALL OTHER LARCENY),-1045143,NA
2023-00087540,12/29/2023,12/29/2023,1,1,23C,21-1705,GRAND LARCENY (SHOPLIFTING),-1045142,NA
2023-00087992,12/31/2023,12/31/2023,1,1,86G,FOUNDPROP,FOUND PROPERTY,-1045141,NA
2023-00087545,12/29/2023,12/29/2023,1,1,86G,FOUNDPROP,FOUND PROPERTY,-1045140,NA
2023-00087831,12/30/2023,12/30/2023,1,1,86G,FOUNDPROP,FOUND PROPERTY,-1045139,NA
2023-00087920,12/31/2023,12/24/2023,1,1,86G,FOUNDPROP,FOUND PROPERTY,-1045138,NA
2023-00087838,12/30/2023,12/30/2023,1,1,86G,FOUNDPROP,FOUND PROPERTY,-1045137,NA
2023-00087572,12/29/2023,12/27/2023,1,1,26B,21-1550.25,FRAUDULENT USE OF CREDIT CARD NUMBER,-1045136,NA
2023-00087605,12/29/2023,12/29/2023,1,5,35B,63-2.405,UNLAWFUL POSSESSION OF PARAPHERNALIA,-1045135,NA
2023-00087605,12/29/2023,12/29/2023,1,4,90Z,47-7.606,FAILURE TO MAINTAIN SECURITY / INSURANCE,-1045134,NA
2023-00087605,12/29/2023,12/29/2023,1,3,35B,63-2.405,UNLAWFUL POSSESSION OF PARAPHERNALIA,-1045133,NA
2023-00087605,12/29/2023,12/29/2023,1,2,87F,47-6.303,DRIVING WITH LIC. CANCELED/SUSPENDED/REVOKED - DUS,-1045132,NA
2023-00087605,12/29/2023,12/29/2023,1,1,90D,47-11.902,DUI - LIQUOR OR DRUGS/APCV,-1045131,NA
2023-00087902,12/31/2023,12/31/2023,1,1,26B,21-1550.39,USE OF A DEVICE TO ACCESS CARD INFORMATION,-1045130,NA
2023-00087589,12/29/2023,12/22/2022,1,1,26C,21-1501,SECURING CREDIT FRAUDENTLY (IMPERSONATION),-1045129,NA
2023-00087529,12/29/2023,12/29/2023,1,1,26C,21-1533.1,FRAUDULENTLY OBTAINING PERSONAL IDENTITY OF OTHERS (IMPERSONATION),-1045128,NA
2023-00085205,12/18/2023,12/15/2023,1,1,26C,21-1533.1,FRAUDULENTLY OBTAINING PERSONAL IDENTITY OF OTHERS (IMPERSONATION),-1045127,NA
2023-00087549,12/29/2023,11/29/2023,1,2,23H,20-1740.2,PORCH PIRACY ACT OF 2020,-1045126,NA
2023-00087549,12/29/2023,11/29/2023,1,1,26C,21-1533.1,FRAUDULENTLY OBTAINING PERSONAL IDENTITY OF OTHERS (IMPERSONATION),-1045125,NA
2023-00087568,12/29/2023,12/29/2023,1,1,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1045124,NA
2023-00087972,12/31/2023,12/30/2023,1,1,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1045123,NA
2023-00087533,12/29/2023,12/29/2023,1,1,35A,24-307,POSS/MARIJ,-1045122,NA
2023-00087934,12/31/2023,12/31/2023,1,1,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1045121,NA
2023-00088036,12/31/2023,12/31/2023,1,2,290,DAMAGEDPROP,DAMAGED PROPERTY,-1045120,NA
2023-00088036,12/31/2023,12/31/2023,1,1,220,21-1438,ENTER STRUCTURE W/CERTAIN INTENT - BREAK AND ENTER (BURGLARY),-1045119,NA
2023-00087888,12/31/2023,12/31/2023,1,2,290,DAMAGEDPROP,DAMAGED PROPERTY,-1045118,NA
2023-00087888,12/31/2023,12/31/2023,1,1,220,21-1435.A,BURGLARY - SECOND DEGREE (BURGLARY),-1045117,NA
2023-00087362,12/28/2023,12/27/2023,1,2,290,DAMAGEDPROP,DAMAGED PROPERTY,-1045115,NA
2023-00087362,12/28/2023,12/27/2023,1,1,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1045114,NA
2023-00087542,12/29/2023,12/28/2023,1,1,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1045113,NA
2023-00087570,12/29/2023,12/29/2023,1,5,88A,CWARR,WARRANT-CLEV COUNTY,-1045112,NA
2023-00087570,12/29/2023,12/29/2023,1,4,90Z,21-267,INTERFERRING WITH AN OFFICER (ALL OTHER OFFENSES),-1045111,NA
2023-00087570,12/29/2023,12/29/2023,2,3,13A,21-650,AGGRAVATED  A& B ON POLICE OFFICER (AGGRAVATED ASSAULT),-1045110,NA
2023-00087570,12/29/2023,12/29/2023,1,2,90Z,21-444,ESCAPE AFTER LAWFUL ARREST / RESISTING,-1045109,NA
2023-00087570,12/29/2023,12/29/2023,1,1,90J,21-1835,TRESPASSING AFTER BEING FORBIDDEN,-1045108,NA
2023-00087933,12/31/2023,12/31/2023,1,2,290,DAMAGEDPROP,DAMAGED PROPERTY,-1045107,NA
2023-00087933,12/31/2023,12/31/2023,1,1,220,21-1435.A,BURGLARY - SECOND DEGREE (BURGLARY),-1045106,NA
2023-00087996,12/31/2023,4/1/2023,1,1,220,21-1435.A,BURGLARY - SECOND DEGREE (BURGLARY),-1045105,NA
2023-00087704,12/30/2023,12/30/2023,1,2,290,DAMAGEDPROP,DAMAGED PROPERTY,-1045102,NA
2023-00087704,12/30/2023,12/30/2023,1,1,220,21-1431,BURGLARY - FIRST DEGREE,-1045101,NA
2023-00087489,12/29/2023,12/29/2023,1,1,80N,PUBLICDOC,PUBLIC DOCUMENTATION,-1045100,NA
2023-00087735,12/30/2023,12/30/2023,1,1,80N,PUBLICDOC,PUBLIC DOCUMENTATION,-1045099,NA
2023-00087786,12/30/2023,12/30/2023,1,1,86S,OFINFO,OFFICERS INFORMATION,-1045098,NA
2023-00087664,12/30/2023,12/30/2023,1,1,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,-1045097,NA
2023-00087769,12/30/2023,12/30/2023,1,1,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,-1045096,NA
2023-00087776,12/30/2023,12/30/2023,1,1,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,-1045095,NA
2023-00075439,11/8/2023,11/8/2023,1,1,86S,OFINFO,OFFICERS INFORMATION,-1045094,NA
2023-00088060,12/31/2023,12/31/2023,1,1,90D,47-11.902,DUI - LIQUOR OR DRUGS/APCV,-1045093,NA
2023-00087658,12/30/2023,12/30/2023,1,6,520,21-1289.9,CARRYING FIREARMS WHILE UNDER THE INFLUENCE,-1045092,NA
2023-00087658,12/30/2023,12/30/2023,1,5,35A,63-2.402.B.2,POSSESSION OF MARIJUANA,-1045091,NA
2023-00087658,12/30/2023,12/30/2023,1,4,35A,63-2.402.B.1,POSSESSION OF CDS,-1045090,NA
2023-00087658,12/30/2023,12/30/2023,1,3,90G,37-537.A7,TRANSPORTING OPEN BOTTLE OR CONTAINER - LIQUOR,-1045089,NA
2023-00087658,12/30/2023,12/30/2023,1,2,90E,37-8,PUBLIC INTOXICATION,-1045088,NA
2023-00087658,12/30/2023,12/30/2023,1,1,87F,47-6.303,DRIVING WITH LIC. CANCELED/SUSPENDED/REVOKED - DUS,-1045087,NA
2023-00088048,12/31/2023,12/31/2023,1,2,90G,37-537.A7,TRANSPORTING OPEN BOTTLE OR CONTAINER - LIQUOR,-1045086,NA
2023-00088048,12/31/2023,12/31/2023,1,1,90D,47-11.902,DUI - LIQUOR OR DRUGS/APCV,-1045085,NA
2023-00086387,12/23/2023,12/23/2023,1,1,90Z,22-60.6,PROTECTIVE ORDER VIOLATION / VPO,-1045084,NA
2023-00088053,12/31/2023,12/31/2023,1,2,86R,47-4.102,UNAUTHORIZED USE OF A VEHICLE / UUMV (RECOVERY FROM OTHER AGENCY),-1045083,NA
2023-00088053,12/31/2023,12/31/2023,1,1,35A,63-2.402.B.1,POSSESSION OF CDS,-1045082,NA
2023-00087890,12/31/2023,12/31/2023,1,1,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,-1045081,NA
2023-00087701,12/30/2023,12/29/2023,1,1,86P,UNATDTH,UNATTENDED / ATTENDED DEATH,-1045080,NA
2023-00087928,12/31/2023,12/30/2023,1,1,86P,UNATDTH,UNATTENDED / ATTENDED DEATH,-1045077,NA
2023-00087877,12/31/2023,12/31/2023,1,1,90D,47-11.902,DUI - LIQUOR OR DRUGS/APCV,-1045074,NA
2023-00087729,12/30/2023,12/30/2023,1,1,90Z,21-1172,OBSCENE/THREATENING/HARASSING PHONE CALL (ALL OTHER OFFENSES),-1045073,NA
2023-00086159,12/22/2023,12/22/2023,1,1,13C,21-1172,OBSCENE/THREATENING/HARASSING PHONE CALL (INTIMIDATION),-1045072,NA
2023-00087714,12/30/2023,12/30/2023,1,1,90Z,21-1172,OBSCENE/THREATENING/HARASSING PHONE CALL (ALL OTHER OFFENSES),-1045071,NA
2023-00087482,12/29/2023,12/29/2023,1,1,13B,21-644.G,DOMESTIC ABUSE IN PRESENCE OF MINOR CHILD (SIMPLE ASSAULT),-1045070,NA
2023-00087859,12/30/2023,12/30/2023,1,1,90D,47-11.902,DUI - LIQUOR OR DRUGS/APCV,-1045069,NA
2023-00086482,12/23/2023,12/23/2023,1,1,13B,J24-401,JV ASSAULT & BATTERY,-1045068,NA
2023-00087562,12/29/2023,12/29/2023,1,1,13B,21-642,BATTERY (SIMPLE ASSAULT),-1045067,NA
2023-00087813,12/30/2023,12/30/2023,1,1,11D,21-843.5.F,SEXUAL ABUSE - CHILD UNDER 12 (FORCIBLE FONDLING),-1045066,NA
2023-00087543,12/29/2023,12/24/2023,1,2,90Z,2-Oct,CHILD ABUSE,-1045065,NA
2023-00087543,12/29/2023,12/24/2023,1,1,13A,21-644.E,DOMESTIC ABUSE AGAINST A PREGNANT WOMAN (AGGRAVATED ASSAULT),-1045064,NA
2023-00087748,12/30/2023,12/29/2023,1,1,240,47-4.102,UNAUTHORIZED USE OF A VEHICLE / UUMV FROM NPD (MOTOR VEHICLE THEFT),-1045063,NA
2023-00087779,12/30/2023,12/29/2023,1,2,90Z,21-267,INTERFERRING WITH AN OFFICER (ALL OTHER OFFENSES),-1045062,NA
2023-00087779,12/30/2023,12/29/2023,1,1,220,21-1435.A,BURGLARY - SECOND DEGREE (BURGLARY),-1045061,NA
2023-00087887,12/31/2023,12/31/2023,1,2,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1045060,NA
2023-00087887,12/31/2023,12/31/2023,1,1,240,21-1720,LARCENY OF AUTO,-1045059,NA
2023-00087881,12/31/2023,12/30/2023,1,1,240,21-1720,LARCENY OF AUTO,-1045058,NA
2023-00087791,12/30/2023,12/30/2023,1,2,83D,RUNAWAYLOC,RUNAWAY-LOCATED/RECOVERED (OUTSIDE AGENCY),-1045057,NA
2023-00087598,12/29/2023,8/1/2023,1,3,13C,21-1173,STALKING (INTIMIDATION),-1045056,NA
2023-00087598,12/29/2023,8/1/2023,2,2,13A,21-644.G,DOMESTIC ABUSE IN PRESENCE OF MINOR CHILD (AGGRAVATED ASSAULT),-1045055,NA
2023-00087598,12/29/2023,8/1/2023,1,1,13A,21-644.J,DOMESTIC ABUSE BY STRANGULATION (AGGRAVATED ASSAULT),-1045054,NA
2024-90000004,12/30/2023,12/30/2023,1,1,23E,21-1435.A,BURGLARY - SECOND DEGREE (THEFT FROM COIN OPERATED VENDING MACHINE OR DEVICE),-1045053,NA
2024-90000003,12/30/2023,12/30/2023,1,1,13C,21-1172,OBSCENE/THREATENING/HARASSING PHONE CALL (INTIMIDATION),-1045052,NA
2024-90000002,12/29/2023,12/29/2023,1,1,23C,21-1701,LARCENY (SHOPLIFTING),-1045051,NA
2024-90000001,12/28/2023,12/28/2023,1,1,23E,21-1435.A,BURGLARY - SECOND DEGREE (THEFT FROM COIN OPERATED VENDING MACHINE OR DEVICE),-1045050,NA
2023-00087791,12/30/2023,12/29/2023,1,1,90I,RUNAWA,RUNAWAY,-1045049,NA
2023-00087595,12/29/2023,12/28/2023,1,1,83B,MISPER,MISSING PERSON,-1045048,NA
