AccidentDatetime,CaseNumber,ORI,HouseNumber,StreetPrefix,StreetPreType,StreetName,StreetType,StreetSuffix,XStreetPrefix,XStreetPreType,XStreetName,XStreetType,XStreetSuffix,UnitNumber,UnitType,DriverPedCondition,ChemicalTest,ContributingFactors
1/4/2023,2023-00000822,OK0140200,,,,12TH,AVE,SE,,,ALAMEDA,ST,,1,D - Driver,Apparently Normal,None Given,Private Drive
1/4/2023,2023-00000822,OK0140200,,,,12TH,AVE,SE,,,ALAMEDA,ST,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/4/2023,2023-00000844,OK0140200,,,,24TH,AVE,SE,E,,LINDSEY,ST,,1,D - Driver,Apparently Normal,None Given,From Signal Light
1/4/2023,2023-00000844,OK0140200,,,,24TH,AVE,SE,E,,LINDSEY,ST,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/4/2023,2023-00000886,OK0140200,,W,,ROBINSON,ST,,N,,BERRY,RD,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/4/2023,2023-00000886,OK0140200,,W,,ROBINSON,ST,,N,,BERRY,RD,,1,D - Driver,Apparently Normal,None Given,Steering
1/5/2023,2023-00000955,OK0140200,,,,I35 / N FLOOD AVE,,,,,,,,2,D - Driver,Apparently Normal,None Given,Distraction from Outside the Vehicle
1/5/2023,2023-00000955,OK0140200,,,,I35 / N FLOOD AVE,,,,,,,,1,D - Driver,Emotional,None Given,Distraction from Outside the Vehicle
1/5/2023,2023-00001025,OK0140200,,S,,JONES,AVE,,E,,COMANCHE,ST,,1,D - Driver,Apparently Normal,None Given,From Stop Sign
1/5/2023,2023-00001025,OK0140200,,S,,JONES,AVE,,E,,COMANCHE,ST,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/5/2023,2023-00001025,OK0140200,,S,,JONES,AVE,,E,,COMANCHE,ST,,3,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/5/2023,2023-00001037,OK0140200,,,,48TH,AVE,NE,E,,ROCK CREEK,RD,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/5/2023,2023-00001037,OK0140200,,,,48TH,AVE,NE,E,,ROCK CREEK,RD,,1,D - Driver,Apparently Normal,None Given,From Stop Sign
1/6/2023,2023-00001168,OK0140200,,W,,MAIN,ST,,N,,INTERSTATE,DR,,1,D - Driver,Unknown,None Given,Improper Act Other Unkn
1/6/2023,2023-00001168,OK0140200,,W,,MAIN,ST,,N,,INTERSTATE,DR,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/6/2023,2023-00001201,OK0140200,,W,,MAIN,ST,,N,,INTERSTATE,DR,,1,D - Driver,Apparently Normal,None Given,Traffic Condition
1/6/2023,2023-00001201,OK0140200,,W,,MAIN,ST,,N,,INTERSTATE,DR,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/6/2023,2023-00001259,OK0140200,,N,,FLOOD,AVE,,,,TECUMSEH,DR,,1,D - Driver,Apparently Normal,None Given,Changed Lanes Unsafely
1/6/2023,2023-00001259,OK0140200,,N,,FLOOD,AVE,,,,TECUMSEH,DR,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/6/2023,2023-00001282,OK0140200,,,,12TH,AVE,SE,,,TRIAD VILLAGE,DR,,1,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/6/2023,2023-00001282,OK0140200,,,,12TH,AVE,SE,,,TRIAD VILLAGE,DR,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/6/2023,2023-00001297,OK0140200,,W,,MAIN,ST,,,,36TH,AVE,SW,1,D - Driver,Apparently Normal,None Given,Fail to Yield Other
1/6/2023,2023-00001297,OK0140200,,W,,MAIN,ST,,,,36TH,AVE,SW,2,D - Driver,Apparently Normal,None Given,Incident Report
1/6/2023,2023-00001304,OK0140200,,E,,STATE HWY 9,HWY,,,,JOHN SAXON,BLVD,,1,D - Driver,Sleepy,None Given,Apparently Sleepy
1/6/2023,2023-00001304,OK0140200,,E,,STATE HWY 9,HWY,,,,JOHN SAXON,BLVD,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/6/2023,2023-00001355,OK0140200,,E,,LINDSEY,ST,,,,BILOXI,DR,,1,D - Driver,Apparently Normal,None Given,Fail to Yield Other
1/6/2023,2023-00001355,OK0140200,,E,,LINDSEY,ST,,,,BILOXI,DR,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/7/2023,2023-00001402,OK0140200,,,,S OFF RAMP 109 / W MAIN ST,,,,,,,,1,D - Driver,Odor of Alcohol Beverage,None Given,On Curve/Turn
1/7/2023,2023-00001407,OK0140200,,,,MAIN ST / I-35,,,,,,,,1,D - Driver,Apparently Normal,None Given,From Signal Light
1/7/2023,2023-00001407,OK0140200,,,,MAIN ST / I-35,,,,,,,,2,D - Driver,Apparently Normal,None Given,To Emergency Vehicles
1/7/2023,2023-00001560,OK0140200,,,,60TH,AVE,NW,W,,ROCK CREEK,RD,,1,D - Driver,Apparently Normal,None Given,On Curve/Turn
1/7/2023,2023-00001567,OK0140200,,,,PRIVATE PROPERTY / 3301 12TH AVE SE,,,,,,,,1,D - Driver,Drinking - Ability Impaired,Blood/Breath,Incident Report
1/7/2023,2023-00001567,OK0140200,,,,PRIVATE PROPERTY / 3301 12TH AVE SE,,,,,,,,4,C - Parked Car,Not Applicable,None Given,Incident Report
1/7/2023,2023-00001567,OK0140200,,,,PRIVATE PROPERTY / 3301 12TH AVE SE,,,,,,,,3,D - Driver,Not Applicable,None Given,Incident Report
1/7/2023,2023-00001567,OK0140200,,,,PRIVATE PROPERTY / 3301 12TH AVE SE,,,,,,,,2,C - Parked Car,Not Applicable,None Given,Incident Report
1/8/2023,2023-00001626,OK0140200,,,,NORMANDIE,DR,,,,HARDIN,DR,,1,D - Driver,Drinking - Ability Impaired,Test Refused,Alcohol DUI/DWI
1/8/2023,2023-00001626,OK0140200,,,,NORMANDIE,DR,,,,HARDIN,DR,,2,D - Driver,Not Applicable,None Given,No Improper Action by Driver
1/8/2023,2023-00001660,OK0140200,,N,,FLOOD,AVE,,W,,ROBINSON,ST,,1,D - Driver,Drinking - Ability Impaired,None Given,Alcohol DUI/DWI
1/8/2023,2023-00001680,OK0140200,,,,PROPERTY PROPERTY / 619 SEDONA DR,,,,,,,,2,C - Parked Car,Not Applicable,None Given,No Improper Action by Driver
1/8/2023,2023-00001680,OK0140200,,,,PROPERTY PROPERTY / 619 SEDONA DR,,,,,,,,1,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/8/2023,2023-00001692,OK0140200,,W,,ROBINSON,ST,,N,,INTERSTATE,DR,,1,D - Driver,Apparently Normal,None Given,For Traffic Signal
1/8/2023,2023-00001692,OK0140200,,W,,ROBINSON,ST,,N,,INTERSTATE,DR,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/8/2023,2023-00001709,OK0140200,,W,,ROBINSON,ST,,N,,INTERSTATE,DR,,1,D - Driver,Apparently Normal,None Given,From Signal Light
1/8/2023,2023-00001709,OK0140200,,W,,ROBINSON,ST,,N,,INTERSTATE,DR,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/8/2023,2023-00001776,OK0140200,,,,12TH,AVE,NE,E,,MAIN,ST,,1,D - Driver,Apparently Normal,None Given,Improper Act Other Unkn
1/8/2023,2023-00001776,OK0140200,,,,12TH,AVE,NE,E,,MAIN,ST,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/9/2023,2023-00001821,OK0140200,,N,,JONES,AVE,,E,,ACRES,ST,,1,D - Driver,Ill (sick),None Given,No Improper Action by Driver
1/9/2023,2023-00001857,OK0140200,,,,48TH,AVE,NW,,,ASHTON,AVE,,1,D - Driver,Unknown,None Given,Left
1/9/2023,2023-00001857,OK0140200,,,,48TH,AVE,NW,,,ASHTON,AVE,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/9/2023,2023-00001984,OK0140200,,,,CREEK WOOD,CT,,,,CROSSROADS,BLVD,,1,D - Driver,Apparently Normal,None Given,Improper Act Other Unkn
1/9/2023,2023-00001984,OK0140200,,,,CREEK WOOD,CT,,,,CROSSROADS,BLVD,,2,D - Driver,Not Applicable,Not Applicable,No Improper Action by Driver
1/10/2023,2023-00002140,OK0140200,,N,,FLOOD,AVE,,,,WASHINGTON,DR,,1,D - Driver,Unknown,None Given,Changed Lanes Unsafely
1/10/2023,2023-00002140,OK0140200,,N,,FLOOD,AVE,,,,WASHINGTON,DR,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/10/2023,2023-00002151,OK0140200,,W,,TECUMSEH,RD,,,,24TH,AVE,NW,1,D - Driver,Apparently Normal,None Given,Inattention Other
1/10/2023,2023-00002151,OK0140200,,W,,TECUMSEH,RD,,,,24TH,AVE,NW,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/10/2023,2023-00002151,OK0140200,,W,,TECUMSEH,RD,,,,24TH,AVE,NW,3,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/10/2023,2023-00002158,OK0140200,,W,,ROBINSON,ST,,,,24TH,AVE,NW,2,D - Driver,Apparently Normal,None Given,Improper Act Other Unkn
1/10/2023,2023-00002158,OK0140200,,W,,ROBINSON,ST,,,,24TH,AVE,NW,1,D - Driver,Apparently Normal,None Given,Improper Act Other Unkn
1/10/2023,2023-00002196,OK0140200,,N,,PORTER,AVE,,E,,GRAY,ST,,1,D - Driver,Apparently Normal,None Given,Traffic Condition
1/10/2023,2023-00002196,OK0140200,,N,,PORTER,AVE,,E,,GRAY,ST,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/10/2023,2023-00002246,OK0140200,,,,ORR,DR,,,,MORREN,DR,,2,D - Driver,Not Applicable,Not Applicable,On Roadway
1/10/2023,2023-00002246,OK0140200,,,,ORR,DR,,,,MORREN,DR,,1,D - Driver,Apparently Normal,None Given,Improper Backing
1/10/2023,2023-00002259,OK0140200,,,,60TH,AVE,NW,W,,TECUMSEH,RD,,1,D - Driver,Apparently Normal,None Given,Distraction from Outside the Vehicle
1/11/2023,2023-00002373,OK0140200,,N,,PORTER,AVE,,W,,INDIAN HILLS,RD,,1,D - Driver,Apparently Normal,None Given,Inattention Other
1/11/2023,2023-00002391,OK0140200,,W,,TECUMSEH,RD,,,,CHARLESTON,RD,,1,D - Driver,Apparently Normal,None Given,Distraction from Outside the Vehicle
1/11/2023,2023-00002391,OK0140200,,W,,TECUMSEH,RD,,,,CHARLESTON,RD,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/11/2023,2023-00002456,OK0140200,,N,,PORTER,AVE,,E,,GRAY,ST,,1,D - Driver,Apparently Normal,None Given,Distraction from Outside the Vehicle
1/11/2023,2023-00002456,OK0140200,,N,,PORTER,AVE,,E,,GRAY,ST,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/11/2023,2023-00002501,OK0140200,,,,BNSF,RR,,W,,FRANKLIN,RD,,1,D - Driver,Under the Influence of Medication,Blood,Drug - DUI
1/12/2023,2023-00002502,OK0140200,,W,,STATE HWY 9,HWY,,,,CHAUTAUQUA,AVE,,1,D - Driver,Drinking - Ability Impaired,Blood,Alcohol DUI/DWI
1/12/2023,2023-00002502,OK0140200,,W,,STATE HWY 9,HWY,,,,CHAUTAUQUA,AVE,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/12/2023,2023-00002547,OK0140200,,E,,STATE HWY 9,HWY,,,,48TH,AVE,SE,1,D - Driver,Apparently Normal,None Given,To Vehicle in Intersection
1/12/2023,2023-00002547,OK0140200,,E,,STATE HWY 9,HWY,,,,48TH,AVE,SE,2,D - Driver,Apparently Normal,None Given,Unsafe Speed Other
1/12/2023,2023-00002595,OK0140200,,W,,GRAY,ST,,N,,SANTA FE,AVE,,1,D - Driver,Apparently Normal,None Given,Inattention Other
1/12/2023,2023-00002595,OK0140200,,W,,GRAY,ST,,N,,SANTA FE,AVE,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/12/2023,2023-00002598,OK0140200,,,,24TH,AVE,NW,W,,MAIN,ST,,1,D - Driver,Apparently Normal,None Given,Failed to Stop Other
1/12/2023,2023-00002598,OK0140200,,,,24TH,AVE,NW,W,,MAIN,ST,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/12/2023,2023-00002598,OK0140200,,,,24TH,AVE,NW,W,,MAIN,ST,,3,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/12/2023,2023-00002620,OK0140200,,W,,ROBINSON,ST,,,,24TH,AVE,NW,1,D - Driver,Apparently Normal,None Given,Inattention Other
1/12/2023,2023-00002620,OK0140200,,W,,ROBINSON,ST,,,,24TH,AVE,NW,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/12/2023,2023-00002627,OK0140200,,,,12TH,AVE,NE,,,MORREN,DR,,1,D - Driver,Apparently Normal,None Given,Traffic Condition
1/12/2023,2023-00002627,OK0140200,,,,12TH,AVE,NE,,,MORREN,DR,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/12/2023,2023-00002666,OK0140200,,E,,STATE HWY 9,HWY,,,,84TH,AVE,SE,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/12/2023,2023-00002666,OK0140200,,E,,STATE HWY 9,HWY,,,,84TH,AVE,SE,1,D - Driver,Apparently Normal,None Given,Inattention Other
1/12/2023,2023-00002674,OK0140200,,N,,INTERSTATE,DR,,W,,ROBINSON,ST,,1,D - Driver,Apparently Normal,None Given,From Signal Light
1/12/2023,2023-00002674,OK0140200,,N,,INTERSTATE,DR,,W,,ROBINSON,ST,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/12/2023,2023-00002679,OK0140200,,E,,STATE HWY 9,HWY,,,,24TH,AVE,SE,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/12/2023,2023-00002679,OK0140200,,E,,STATE HWY 9,HWY,,,,24TH,AVE,SE,1,D - Driver,Apparently Normal,None Given,Other Distraction Inside
1/13/2023,2023-00002764,OK0140200,,N,,FLOOD,AVE,,W,,ROCK CREEK,RD,,1,D - Driver,Apparently Normal,None Given,Right
1/13/2023,2023-00002764,OK0140200,,N,,FLOOD,AVE,,W,,ROCK CREEK,RD,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/13/2023,2023-00002791,OK0140200,,W,,INDIAN HILLS,RD,,,,BROADWAY,,,1,D - Driver,Apparently Normal,None Given,Traffic Condition
1/13/2023,2023-00002791,OK0140200,,W,,INDIAN HILLS,RD,,,,BROADWAY,,,2,D - Driver,Apparently Normal,None Given,Improper Backing
1/13/2023,2023-00002826,OK0140200,,,,CLASSEN,BLVD,,,,ANN BRANDEN,BLVD,,1,D - Driver,Apparently Normal,None Given,Fail to Yield Other
1/13/2023,2023-00002826,OK0140200,,,,CLASSEN,BLVD,,,,ANN BRANDEN,BLVD,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/13/2023,2023-00002876,OK0140200,,E,,ROBINSON,ST,,,,24TH,AVE,NE,1,D - Driver,Drinking - Ability Impaired,None Given,Alcohol DUI/DWI
1/13/2023,2023-00002876,OK0140200,,E,,ROBINSON,ST,,,,24TH,AVE,NE,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/13/2023,2023-00002894,OK0140200,,W,,TECUMSEH,RD,,,,I35 NB OFF RAMP 112,RAMP,,1,D - Driver,Apparently Normal,None Given,To Vehicle in Intersection
1/13/2023,2023-00002894,OK0140200,,W,,TECUMSEH,RD,,,,I35 NB OFF RAMP 112,RAMP,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/13/2023,2023-00002898,OK0140200,,N,,PORTER,AVE,,E,,FRANK,ST,,1,D - Driver,Apparently Normal,None Given,Improper Use of Lane
1/13/2023,2023-00002898,OK0140200,,N,,PORTER,AVE,,E,,FRANK,ST,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/13/2023,2023-00002927,OK0140200,,,,PRIVATE PROPERTY / 1400 24TH AVE NW,,,,,,,,1,D - Driver,Unknown,None Given,Improper Act Other Unkn
1/13/2023,2023-00002927,OK0140200,,,,PRIVATE PROPERTY / 1400 24TH AVE NW,,,,,,,,2,C - Parked Car,Not Applicable,None Given,No Improper Action by Driver
1/14/2023,2023-00003031,OK0140200,,W,,ROBINSON,ST,,N,,FLOOD,AVE,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/14/2023,2023-00003031,OK0140200,,W,,ROBINSON,ST,,N,,FLOOD,AVE,,1,D - Driver,Apparently Normal,None Given,Private Drive
1/14/2023,2023-00003065,OK0140200,,W,,MAIN,ST,,,,26TH,DR,SW,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/14/2023,2023-00003065,OK0140200,,W,,MAIN,ST,,,,26TH,DR,SW,3,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/14/2023,2023-00003065,OK0140200,,W,,MAIN,ST,,,,26TH,DR,SW,1,D - Driver,Apparently Normal,None Given,Other Distraction Inside
1/14/2023,2023-00003071,OK0140200,,,,12TH,AVE,NE,,,MORREN,DR,,2,D - Driver,Apparently Normal,None Given,Improper Act Other Unkn
1/14/2023,2023-00003071,OK0140200,,,,12TH,AVE,NE,,,MORREN,DR,,1,D - Driver,Apparently Normal,None Given,Left
1/14/2023,2023-00003080,OK0140200,,,,STATE HWY 9,HWY,,E,,IMHOFF,RD,,1,D - Driver,Apparently Normal,None Given,Inattention Other
1/14/2023,2023-00003080,OK0140200,,,,STATE HWY 9,HWY,,E,,IMHOFF,RD,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/14/2023,2023-00003080,OK0140200,,,,STATE HWY 9,HWY,,E,,IMHOFF,RD,,3,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/14/2023,2023-00003098,OK0140200,,,,12TH,AVE,SE,,,BEAUMONT,ST,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/14/2023,2023-00003098,OK0140200,,,,12TH,AVE,SE,,,BEAUMONT,ST,,1,D - Driver,Apparently Normal,None Given,Other Distraction Inside
1/14/2023,2023-00003126,OK0140200,,,,24TH,AVE,NW,W,,TECUMSEH,RD,,1,D - Driver,Apparently Normal,Not Applicable,Inattention Other
1/15/2023,2023-00003185,OK0140200,,E,,LINDSEY,ST,,,,48TH,AVE,SE,1,D - Driver,Apparently Normal,None Given,From Stop Sign
1/15/2023,2023-00003185,OK0140200,,E,,LINDSEY,ST,,,,48TH,AVE,SE,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/15/2023,2023-00003244,OK0140200,,,,108TH,AVE,NE,E,,FRANKLIN,RD,,1,D - Driver,Apparently Normal,None Given,From Stop Sign
1/15/2023,2023-00003244,OK0140200,,,,108TH,AVE,NE,E,,FRANKLIN,RD,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/16/2023,2023-00003423,OK0140200,,,,12TH,AVE,SE,,,CLASSEN,BLVD,,1,D - Driver,Unknown,None Given,For Traffic Signal
1/16/2023,2023-00003423,OK0140200,,,,12TH,AVE,SE,,,CLASSEN,BLVD,,2,D - Driver,Unknown,None Given,No Improper Action by Driver
1/16/2023,2023-00003425,OK0140200,,N,,BERRY,RD,,W,,ROBINSON,ST,,1,D - Driver,Apparently Normal,None Given,Left
1/16/2023,2023-00003425,OK0140200,,N,,BERRY,RD,,W,,ROBINSON,ST,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/16/2023,2023-00003442,OK0140200,,,,24TH,AVE,NW,,,MOUNT WILLIAMS,DR,,1,D - Driver,Apparently Normal,None Given,Changed Lanes Unsafely
1/16/2023,2023-00003442,OK0140200,,,,24TH,AVE,NW,,,MOUNT WILLIAMS,DR,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/16/2023,2023-00003449,OK0140200,,W,,ROBINSON,ST,,N,,INTERSTATE,DR,,1,D - Driver,Apparently Normal,None Given,Other Distraction Inside
1/16/2023,2023-00003449,OK0140200,,W,,ROBINSON,ST,,N,,INTERSTATE,DR,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/16/2023,2023-00003464,OK0140200,,,,CHAUTAUQUA,AVE,,W,,LINDSEY,ST,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/16/2023,2023-00003464,OK0140200,,,,CHAUTAUQUA,AVE,,W,,LINDSEY,ST,,1,D - Driver,Apparently Normal,None Given,Human Element
1/16/2023,2023-00003478,OK0140200,,,,I35 SB ON RAMP 109,RAMP,,W,,MAIN,ST,,1,D - Driver,Apparently Normal,None Given,Human Element
1/16/2023,2023-00003478,OK0140200,,,,I35 SB ON RAMP 109,RAMP,,W,,MAIN,ST,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/16/2023,2023-00003479,OK0140200,,,,CLASSEN,BLVD,,,,RENAISSANCE,DR,,1,D - Driver,Apparently Normal,None Given,Private Drive
1/16/2023,2023-00003479,OK0140200,,,,CLASSEN,BLVD,,,,RENAISSANCE,DR,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/17/2023,2023-00003544,OK0140200,,E,,STATE HWY 9,HWY,,,,SHORELINE,DR,,1,D - Driver,Apparently Normal,None Given,Human Element
1/17/2023,2023-00003544,OK0140200,,E,,STATE HWY 9,HWY,,,,SHORELINE,DR,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/17/2023,2023-00003558,OK0140200,,W,,ROBINSON,ST,,,,RAMBLING OAKS,DR,,1,D - Driver,Apparently Normal,None Given,Distraction from Outside the Vehicle
1/17/2023,2023-00003558,OK0140200,,W,,ROBINSON,ST,,,,RAMBLING OAKS,DR,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/17/2023,2023-00003575,OK0140200,,,,24TH,AVE,SW,W,,MAIN,ST,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/17/2023,2023-00003575,OK0140200,,,,24TH,AVE,SW,W,,MAIN,ST,,1,D - Driver,Apparently Normal,None Given,Changed Lanes Unsafely
1/17/2023,2023-00003640,OK0140200,,E,,STATE HWY 9,HWY,,,,JENKINS,AVE,,1,D - Driver,Not Applicable,None Given,Changed Lanes Unsafely
1/17/2023,2023-00003640,OK0140200,,E,,STATE HWY 9,HWY,,,,JENKINS,AVE,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/17/2023,2023-00003678,OK0140200,,,,CLASSEN,BLVD,,E,,CEDAR LANE,RD,,1,D - Driver,Apparently Normal,None Given,For Traffic Signal
