FILENUM,INCIDENT_TYPE,INVOLVMENT,SUBJ_TYPE,SUBJ_INC_NUM,AGE,YRS_EMPL,SEX,RACE,Allegations_SOURCE,ALLEGATION_MADE,FINDING,SERVICE_TYPE,UOF_SOURCE,RESISTANCE_TYPE,SUB_ACT_DESC,UOF_EFFECTIVE,SUBJ_INJ,SUBJ_INJ_HOSP
UF2016-005,Use of force,Officer,Officer,7181,26,3,Male,White,NA,NA,NA,Fight Call,Employee,Active Resister Unarmed,NA,NA,No,No
IAE2016-002,Complaint External--IAE,Witness,Citizen,2696,NA,NA,Female,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2016-006,Use of force,Complainant,Citizen,2768,17,NA,Male,White,NA,NA,NA,Suspicious Person,Employee,Active Resister Armed,Active Armed,n/a,Yes,No
UF2016-006,Use of force,Complainant,Citizen,2768,17,NA,Male,White,NA,NA,NA,Suspicious Person,Employee,Active Resister Armed,Active Fleeing,n/a,Yes,No
UF2016-006,Use of force,Complainant,Citizen,2768,17,NA,Male,White,NA,NA,NA,Suspicious Person,Employee,Active Resister Armed,Self-Destructive,n/a,Yes,No
IQE2016-003,Inquiry External--IQE,Officer,Officer,7103,54,20,Male,White,Supervisor,Improper Conduct Toward Public,Unfounded,NA,NA,NA,NA,NA,NA,NA
UF2016-006,Use of force,Officer,Officer,7194,47,24,Male,White,NA,NA,NA,Suspicious Person,Employee,Active Resister Armed,NA,NA,Yes,Yes
IQE2016-004,Inquiry External--IQE,Officer,Officer,7107,35,7,Female,White,Citizen Telephone Call,Improper Conduct Toward Public,No Misconduct,NA,NA,NA,NA,NA,NA,NA
UF2016-006,Use of force,Officer,Officer,7189,36,7,Male,White,NA,NA,NA,Suspicious Person,Employee,Active Resister Armed,Taser,Limited,Yes,Yes
UF2016-006,Use of force,Officer,Officer,7189,36,7,Male,White,NA,NA,NA,Suspicious Person,Employee,Active Resister Armed,Taser,Limited,Yes,Yes
IAE2016-006,Complaint External--IAE,Officer,Officer,7145,30,5,Male,White,Employee,Excessive Force,Unfounded,NA,NA,NA,NA,NA,NA,NA
IAE2016-006,Complaint External--IAE,Officer,Officer,7145,30,5,Male,White,Employee,Improper Conduct Toward Public,Unfounded,NA,NA,NA,NA,NA,NA,NA
IAE2016-006,Complaint External--IAE,Officer,Officer,7145,30,5,Male,White,Employee,Improper Use of Audio/Video Equipment,Administrative,NA,NA,NA,NA,NA,NA,NA
IAE2016-006,Complaint External--IAE,Officer,Officer,7145,30,5,Male,White,Employee,Improper Use of Audio/Video Equipment,Exceptional,NA,NA,NA,NA,NA,NA,NA
UF2016-006,Use of force,Officer,Officer,7195,29,6,Male,White,NA,NA,NA,Suspicious Person,Employee,Active Resister Armed,NA,NA,Yes,Yes
UF2016-006,Use of force,Witness,Officer,7214,38,8,Male,Black,NA,NA,NA,Suspicious Person,Employee,Active Resister Armed,NA,NA,Yes,Yes
UF2016-006,Use of force,Witness,Officer,7192,32,6,Female,White,NA,NA,NA,Suspicious Person,Employee,Active Resister Armed,NA,NA,Yes,Yes
UF2016-006,Use of force,Witness,Officer,7193,35,6,Male,White,NA,NA,NA,Suspicious Person,Employee,Active Resister Armed,NA,NA,Yes,Yes
UF2016-006,Use of force,Witness,Officer,7213,27,2,Male,White,NA,NA,NA,Suspicious Person,Employee,Active Resister Armed,NA,NA,Yes,Yes
UF2016-006,Use of force,Witness,Officer,7215,33,1,Male,White,NA,NA,NA,Suspicious Person,Employee,Active Resister Armed,NA,NA,Yes,Yes
UF2016-007,Use of force,Complainant,Citizen,2771,47,NA,Male,White,NA,NA,NA,Foot Pursuit,Employee,Active Fleeing,Active Fleeing,n/a,Yes,Yes
UF2016-007,Use of force,Complainant,Citizen,2771,47,NA,Male,White,NA,NA,NA,Foot Pursuit,Employee,Active Fleeing,Active Fleeing,n/a,Yes,Yes
IQE2016-001,Inquiry External--IQE,Complainant,Citizen,2702,19,NA,Female,Black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IQE2016-007,Inquiry External--IQE,Officer,Officer,7147,34,6,Male,White,Citizen Telephone Call,Improper Conduct Toward Public,Unfounded,NA,NA,NA,NA,NA,NA,NA
UF2016-007,Use of force,Officer,Officer,7210,31,7,Male,White,NA,NA,NA,Foot Pursuit,Employee,Active Fleeing,Taser,Limited,No,No
IAE2016-007,Complaint External--IAE,Officer,Officer,7156,40,8,Female,White,Citizen Telephone Call,Improper Conduct Toward Public,No Misconduct,NA,NA,NA,NA,NA,NA,NA
UF2016-008,Use of force,Complainant,Citizen,2782,26,NA,Male,White,NA,NA,NA,Disturbance,Employee,Active Resister Unarmed,Active Fleeing,n/a,Yes,Yes
UF2016-008,Use of force,Complainant,Citizen,2782,26,NA,Male,White,NA,NA,NA,Disturbance,Employee,Active Resister Unarmed,Active Fleeing,n/a,Yes,Yes
UF2016-008,Use of force,Complainant,Citizen,2782,26,NA,Male,White,NA,NA,NA,Disturbance,Employee,Active Resister Unarmed,Active Unarmed,n/a,Yes,Yes
UF2016-008,Use of force,Complainant,Citizen,2782,26,NA,Male,White,NA,NA,NA,Disturbance,Employee,Active Resister Unarmed,Active Unarmed,n/a,Yes,Yes
UF2016-008,Use of force,Complainant,Citizen,2782,26,NA,Male,White,NA,NA,NA,Disturbance,Employee,Active Resister Unarmed,Self-Destructive,n/a,Yes,Yes
UF2016-008,Use of force,Complainant,Citizen,2782,26,NA,Male,White,NA,NA,NA,Disturbance,Employee,Active Resister Unarmed,Self-Destructive,n/a,Yes,Yes
IQE2016-001,Inquiry External--IQE,Witness,Officer,7052,42,19,Male,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IQE2016-008,Inquiry External--IQE,Officer,Officer,7153,28,2,Male,White,Citizen email,Improper Conduct Toward Public,No Misconduct,NA,NA,NA,NA,NA,NA,NA
IAE2016-003,Complaint External--IAE,Complainant,Citizen,2703,NA,NA,Female,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IAI2016-003,Complaint Internal--IAI,Officer,Officer,7158,42,7,Female,White,Supervisor,"Misfeasance:  318, IV, L, 4",Sustained,NA,NA,NA,NA,NA,NA,NA
IAI2016-003,Complaint Internal--IAI,Officer,Officer,7158,42,7,Female,White,Supervisor,Neglect or Inattention to Duty,Non-Sustained,NA,NA,NA,NA,NA,NA,NA
IAI2016-003,Complaint Internal--IAI,Officer,Officer,7158,42,7,Female,White,Supervisor,"Nonfeasance:  318, IV, L, 5",Non-Sustained,NA,NA,NA,NA,NA,NA,NA
UF2016-008,Use of force,Officer,Officer,7260,35,6,Male,White,NA,NA,NA,Disturbance,Employee,Active Resister Unarmed,Arm Bar Takedown,Yes,No,No
IAI2016-002,Complaint Internal--IAI,Complainant,Citizen,3072,NA,NA,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2016-008,Use of force,Officer,Officer,7259,31,1,Male,Black,NA,NA,NA,Disturbance,Employee,Active Resister Unarmed,Arm Bar Takedown,Yes,No,No
IAI2016-002,Complaint Internal--IAI,Complainant,Officer,7081,50,16,Female,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2016-008,Use of force,Witness,Officer,7261,58,18,Male,Amer Ind,NA,NA,NA,Disturbance,Employee,Active Resister Unarmed,NA,NA,No,No
IAE2016-010,Complaint External--IAE,Officer,Officer,7161,34,7,Male,White,Employee,Discussing Confidential Information,No Misconduct,NA,NA,NA,NA,NA,NA,NA
IAE2016-010,Complaint External--IAE,Officer,Officer,7161,34,7,Male,White,Employee,Untruthfulness,No Misconduct,NA,NA,NA,NA,NA,NA,NA
UF2016-008,Use of force,Witness,Officer,7263,34,6,Male,White,NA,NA,NA,Disturbance,Employee,Active Resister Unarmed,NA,NA,No,No
UF2016-008,Use of force,Witness,Officer,7264,35,3,Male,White,NA,NA,NA,Disturbance,Employee,Active Resister Unarmed,NA,NA,No,No
IAI2016-002,Complaint Internal--IAI,Witness,Officer,7082,39,16,Male,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2016-008,Use of force,Witness,Officer,7262,28,3,Male,Black,NA,NA,NA,Disturbance,Employee,Active Resister Unarmed,NA,NA,No,No
IAE2016-009,Complaint External--IAE,Officer,Officer,7165,34,7,Male,White,Citizen Telephone Call,"Release of Confidentiual Information:  Policy 117, V, D, 3, a",No Misconduct,NA,NA,NA,NA,NA,NA,NA
UF2016-011,Use of force,Complainant,Citizen,2789,16,NA,Male,Black,NA,NA,NA,Arrest,Employee,Active Resister Unarmed,Active Fleeing,n/a,No,Yes
UF2016-011,Use of force,Complainant,Citizen,2789,16,NA,Male,Black,NA,NA,NA,Arrest,Employee,Active Resister Unarmed,Active Unarmed,n/a,No,Yes
IAE2016-009,Complaint External--IAE,Officer,Officer,7164,28,2,Male,White,Citizen Telephone Call,"Release of Confidentiual Information:  Policy 117, V, D, 3, a",No Misconduct,NA,NA,NA,NA,NA,NA,NA
UF2016-011,Use of force,Officer,Officer,7280,32,7,Male,White,NA,NA,NA,Arrest,Employee,Active Resister Unarmed,Vascular Restraint,Yes,Yes,Yes
UF2016-011,Use of force,Officer,Officer,7281,34,5,Male,White,NA,NA,NA,Arrest,Employee,Active Resister Unarmed,Verbal Commands,No,Yes,Yes
IAI2016-004,Complaint Internal--IAI,Officer,Officer,7199,55,NA,Male,White,Employee,"Abuse of Police Powers or Position:  Policy 318, IV, G, 1-6",Exceptional,NA,NA,NA,NA,NA,NA,NA
UF2016-011,Use of force,Witness,Officer,7282,41,17,Male,White,NA,NA,NA,Arrest,Employee,Active Resister Unarmed,NA,NA,Yes,Yes
IAE2016-005,Complaint External--IAE,Complainant,Citizen,2717,45,NA,Male,Black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2016-009,Use of force,Complainant,Citizen,2791,24,NA,Male,White,NA,NA,NA,Traffic Stop,Employee,Active Fleeing,Active Fleeing,n/a,Yes,Yes
UF2016-009,Use of force,Complainant,Citizen,2791,24,NA,Male,White,NA,NA,NA,Traffic Stop,Employee,Active Fleeing,Active Fleeing,n/a,Yes,Yes
UF2016-009,Use of force,Complainant,Citizen,2791,24,NA,Male,White,NA,NA,NA,Traffic Stop,Employee,Active Fleeing,Active Unarmed,n/a,Yes,Yes
UF2016-009,Use of force,Complainant,Citizen,2791,24,NA,Male,White,NA,NA,NA,Traffic Stop,Employee,Active Fleeing,Active Unarmed,n/a,Yes,Yes
IAI2016-005,Complaint Internal--IAI,Officer,Officer,7200,58,36,Male,White,Employee,Criminal Activity,Exonerated,NA,NA,NA,NA,NA,NA,NA
IAI2016-005,Complaint Internal--IAI,Officer,Officer,7200,58,36,Male,White,Employee,Improper Use of Department Eqiupment and/or Materials,Exonerated,NA,NA,NA,NA,NA,NA,NA
IAI2016-005,Complaint Internal--IAI,Officer,Officer,7200,58,36,Male,White,Employee,Organizational Values,Exceptional,NA,NA,NA,NA,NA,NA,NA
IAE2016-005,Complaint External--IAE,Witness,Officer,7096,41,17,Male,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2016-009,Use of force,Officer,Officer,7290,30,3,Male,White,NA,NA,NA,Traffic Stop,Employee,Active Fleeing,Leg Sweep Takedown,Yes,No,No
IQE2016-003,Inquiry External--IQE,Complainant,Citizen,2724,27,NA,Female,Black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2016-009,Use of force,Witness,Officer,7291,52,24,Male,White,NA,NA,NA,Traffic Stop,Employee,Active Fleeing,NA,NA,No,No
IAI2016-007,Complaint Internal--IAI,Officer,Officer,7226,55,19,Male,White,Supervisor,"Accountablity Violation:  318, III, A, 1",Administrative,NA,NA,NA,NA,NA,NA,NA
UF2016-009,Use of force,Witness,Officer,7292,37,13,Male,White,NA,NA,NA,Traffic Stop,Employee,Active Fleeing,NA,NA,No,No
IQE2016-003,Inquiry External--IQE,Complainant,Citizen,2726,NA,NA,Female,Black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2016-010,Use of force,Complainant,Citizen,2795,51,NA,Male,Native Am,NA,NA,NA,Arrest,Employee,Active Resister Unarmed,Active Unarmed,n/a,Yes,No
IQE2016-010,Inquiry External--IQE,Officer,Officer,7228,29,3,Male,White,Supervisor,Improper Conduct Toward Public,No Misconduct,NA,NA,NA,NA,NA,NA,NA
UF2016-010,Use of force,Officer,Officer,7297,31,5,Male,White,NA,NA,NA,Arrest,Employee,Active Resister Unarmed,Compliance Hold,Yes,No,No
UF2016-010,Use of force,Officer,Officer,7297,31,5,Male,White,NA,NA,NA,Arrest,Employee,Active Resister Unarmed,Verbal Commands,Yes,No,No
IQE2016-003,Inquiry External--IQE,Complainant,Citizen,2727,64,NA,Female,Black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IAE2016-011,Complaint External--IAE,Officer,Officer,7237,56,16,Male,White,Citizen Telephone Call,Improper Conduct Toward Public,No Misconduct,NA,NA,NA,NA,NA,NA,NA
UF2016-010,Use of force,Officer,Officer,7296,27,2,Male,White,NA,NA,NA,Arrest,Employee,Active Resister Unarmed,Compliance Hold,Yes,No,No
UF2016-010,Use of force,Officer,Officer,7296,27,2,Male,White,NA,NA,NA,Arrest,Employee,Active Resister Unarmed,Verbal Commands,Yes,No,No
IQE2016-011,Inquiry External--IQE,Officer,Officer,7246,40,8,Female,White,Citizen Telephone Call,Improper Conduct Toward Public,Unfounded,NA,NA,NA,NA,NA,NA,NA
IQE2016-003,Inquiry External--IQE,Witness,Citizen,2725,NA,NA,Male,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2016-010,Use of force,Officer,Officer,7295,31,1,Male,White,NA,NA,NA,Arrest,Employee,Active Resister Unarmed,Arm Bar Takedown,Yes,No,No
UF2016-010,Use of force,Officer,Officer,7295,31,1,Male,White,NA,NA,NA,Arrest,Employee,Active Resister Unarmed,Verbal Commands,Yes,No,No
IAE2016-012,Complaint External--IAE,Officer,Officer,7271,31,7,Male,White,NA,"Failure to Report Allegations:  Policy 107, V, B",Sustained,NA,NA,NA,NA,NA,NA,NA
IQE2016-003,Inquiry External--IQE,Witness,Citizen,2728,NA,NA,Female,Black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2016-012,Use of force,Complainant,Citizen,2805,24,NA,Male,Black,NA,NA,NA,Disturbance,Employee,Active Fleeing,Active Fleeing,n/a,Yes,Yes
IAE2016-012,Complaint External--IAE,Officer,Officer,7270,32,7,Male,Hispanic,NA,"Conduct Unbecoming:  318, III, 2",Non-Sustained,NA,NA,NA,NA,NA,NA,NA
IAE2016-012,Complaint External--IAE,Officer,Officer,7270,32,7,Male,Hispanic,NA,Criminal Activity,Non-Sustained,NA,NA,NA,NA,NA,NA,NA
UF2016-012,Use of force,Officer,Officer,7305,31,3,Male,White,NA,NA,NA,Disturbance,Employee,Active Fleeing,Tackle,Yes,Yes,Yes
UF2016-017,Use of force,Complainant,Citizen,2815,31,NA,Male,White,NA,NA,NA,Reported Theft,Employee,Active Resister Unarmed,Active Fleeing,n/a,Yes,Yes
UF2016-017,Use of force,Complainant,Citizen,2815,31,NA,Male,White,NA,NA,NA,Reported Theft,Employee,Active Resister Unarmed,Active Unarmed,n/a,Yes,Yes
IQE2016-003,Inquiry External--IQE,Witness,Officer,7102,38,11,Male,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IQE2016-004,Inquiry External--IQE,Complainant,Citizen,2729,36,NA,Female,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2016-017,Use of force,Officer,Officer,7355,30,3,Male,White,NA,NA,NA,Reported Theft,Employee,Active Resister Unarmed,Strike w/ hand-foot-etc.,Yes,No,No
IAI2016-008,Complaint Internal--IAI,Officer,Officer,7285,45,21,Male,White,NA,"Conduct Unbecoming:  318, III, 2",Exceptional,NA,NA,NA,NA,NA,NA,NA
UF2016-017,Use of force,Witness,Officer,7357,39,7,Male,White,NA,NA,NA,Reported Theft,Employee,Active Resister Unarmed,NA,NA,No,No
IAE2016-014,Complaint External--IAE,Officer,Officer,7294,34,6,Male,White,Citizen Telephone Call,Harassment,No Misconduct,NA,NA,NA,NA,NA,NA,NA
IAE2016-014,Complaint External--IAE,Officer,Officer,7294,34,6,Male,White,Citizen Telephone Call,Improper Conduct Toward Public,No Misconduct,NA,NA,NA,NA,NA,NA,NA
IAE2016-014,Complaint External--IAE,Officer,Officer,7294,34,6,Male,White,Citizen Telephone Call,Improper Use of Audio/Video Equipment,Administrative,NA,NA,NA,NA,NA,NA,NA
UF2016-017,Use of force,Witness,Officer,7356,38,3,Male,Asian,NA,NA,NA,Reported Theft,Employee,Active Resister Unarmed,NA,NA,No,No
UF2016-016,Use of force,Complainant,Citizen,2817,29,NA,Male,White,NA,NA,NA,Disturbance,Employee,Active Resister Armed,Active Armed,n/a,No,No
UF2016-016,Use of force,Complainant,Citizen,2817,29,NA,Male,White,NA,NA,NA,Disturbance,Employee,Active Resister Armed,Active Unarmed,n/a,No,No
IAE2016-006,Complaint External--IAE,Complainant,Citizen,2744,55,NA,Female,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2016-016,Use of force,Witness,Citizen,2818,51,NA,Male,White,NA,NA,NA,Disturbance,Employee,Active Resister Armed,NA,n/a,No,No
IAE2016-006,Complaint External--IAE,Witness,Citizen,2745,NA,NA,Male,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2016-016,Use of force,Officer,Officer,7370,32,6,Female,White,NA,NA,NA,Disturbance,Employee,Active Resister Armed,Taser,No,No,No
UF2016-016,Use of force,Officer,Officer,7370,32,6,Female,White,NA,NA,NA,Disturbance,Employee,Active Resister Armed,Verbal Commands,No,No,No
IQE2016-014,Complaint External--IAE,Officer,Officer,7298,42,17,Male,White,Citizen Letter,"Conduct - Exceeding powers by unreaonable, unlwawful or excessive conduct",Unfounded,NA,NA,NA,NA,NA,NA,NA
IQE2016-007,Inquiry External--IQE,Complainant,Citizen,2746,22,NA,Female,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2016-016,Use of force,Officer,Officer,7369,46,2,Male,White,NA,NA,NA,Disturbance,Employee,Active Resister Armed,Compliance Hold,Yes,No,No
UF2016-016,Use of force,Officer,Officer,7369,46,2,Male,White,NA,NA,NA,Disturbance,Employee,Active Resister Armed,Verbal Commands,No,No,No
IQE2016-019,Inquiry External--IQE,Officer,Officer,7871,NA,NA,NA,NA,Citizen In-Person,"Unauthorized Access, Disclosure or Use - Release of confidential or protected information/items",Unfounded,NA,NA,NA,NA,NA,NA,NA
IQE2016-018,Inquiry External--IQE,Officer,Officer,7300,38,8,Male,Black,Citizen In-Person,"Nonfeasance:  318, IV, L, 5",Exonerated,NA,NA,NA,NA,NA,NA,NA
UF2016-013,Use of force,Complainant,Citizen,2820,27,NA,Female,White,NA,NA,NA,Foot Pursuit,Employee,Active Fleeing,Active Fleeing,n/a,Yes,Yes
IAE2016-007,Complaint External--IAE,Complainant,Citizen,2747,NA,NA,Male,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2016-013,Use of force,Witness,Citizen,2821,33,NA,Male,White,NA,NA,NA,Foot Pursuit,Employee,Active Fleeing,NA,n/a,Yes,Yes
IQE2016-012,Inquiry External--IQE,Officer,Officer,7302,32,1,Male,White,Citizen email,Improper Conduct Toward Public,No Misconduct,NA,NA,NA,NA,NA,NA,NA
UF2016-013,Use of force,Officer,Officer,7377,34,6,Male,White,NA,NA,NA,Foot Pursuit,Employee,Active Fleeing,Tackle,Yes,No,No
UF2016-013,Use of force,Officer,Officer,7377,34,6,Male,White,NA,NA,NA,Foot Pursuit,Employee,Active Fleeing,Taser,Limited,No,No
IAE2016-016,Complaint External--IAE,Officer,Officer,7303,38,8,Male,Black,Employee,Off Duty Police Actions,Non-Sustained,NA,NA,NA,NA,NA,NA,NA
IQE2016-006,Inquiry Internal--IQI,Complainant,Citizen,2748,20,NA,Male,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2016-013,Use of force,Officer,Officer,7376,33,5,Male,White,NA,NA,NA,Foot Pursuit,Employee,Active Fleeing,Taser,Limited,No,No
IAE2016-020,Complaint External--IAE,Officer,Officer,7333,35,7,Female,White,NA,"Misfeasance:  318, IV, L, 4",Exceptional,NA,NA,NA,NA,NA,NA,NA
UF2016-015,Use of force,Complainant,Citizen,2822,61,NA,Male,White,NA,NA,NA,Protective Custody,Employee,Active Resister Armed,Active Armed,n/a,Yes,Yes
IQE2016-006,Inquiry Internal--IQI,Witness,Officer,7146,31,8,Male,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2016-015,Use of force,Witness,Citizen,2823,61,NA,Female,White,NA,NA,NA,Protective Custody,Employee,Active Resister Armed,NA,n/a,Yes,Yes
IAE2016-020,Complaint External--IAE,Officer,Officer,7331,30,3,Male,Native Am,NA,Improper Conduct Toward Public,Sustained,NA,NA,NA,NA,NA,NA,NA
IAE2016-020,Complaint External--IAE,Officer,Officer,7331,30,3,Male,Native Am,NA,"Misfeasance:  318, IV, L, 4",Unfounded,NA,NA,NA,NA,NA,NA,NA
UF2016-015,Use of force,Officer,Officer,7378,41,5,Male,White,NA,NA,NA,Protective Custody,Employee,Active Resister Armed,Taser,Yes,Yes,Yes
UF2016-015,Use of force,Witness,Officer,7379,35,7,Male,White,NA,NA,NA,Protective Custody,Employee,Active Resister Armed,NA,NA,Yes,Yes
IQE2016-008,Inquiry External--IQE,Complainant,Citizen,2750,67,NA,Male,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2016-014,Use of force,Complainant,Citizen,2830,37,NA,Male,Black,NA,NA,NA,Arrest,Employee,Active Resister Unarmed,Active Fleeing,n/a,Yes,Yes
UF2016-014,Use of force,Complainant,Citizen,2830,37,NA,Male,Black,NA,NA,NA,Arrest,Employee,Active Resister Unarmed,Active Unarmed,n/a,Yes,Yes
IQE2016-015,Inquiry External--IQE,Officer,Officer,7344,49,21,Male,White,Citizen Letter,"Conduct Unbecoming:  318, III, 2",Unfounded,NA,NA,NA,NA,NA,NA,NA
UF2016-014,Use of force,Officer,Officer,7410,43,14,Male,White,NA,NA,NA,Arrest,Employee,Active Resister Unarmed,Taser,Yes,No,No
IAE2016-018,Complaint External--IAE,Officer,Officer,7347,50,19,Male,White,NA,Neglect or Inattention to Duty,Exceptional,NA,NA,NA,NA,NA,NA,NA
UF2016-014,Use of force,Witness,Officer,7411,35,7,Male,White,NA,NA,NA,Arrest,Employee,Active Resister Unarmed,NA,NA,No,No
UF2016-018,Use of force,Complainant,Citizen,2831,37,NA,Male,Black,NA,NA,NA,Arrest,Employee,Active Fleeing,Active Fleeing,n/a,Yes,Yes
IAE2016-018,Complaint External--IAE,Officer,Officer,7346,49,21,Male,White,NA,Neglect or Inattention to Duty,Exceptional,NA,NA,NA,NA,NA,NA,NA
