AccidentNumber,AccidentDatetime,UnitNumber,UnitSubjectNumber,Description,Sev_Num
2016-00002928,1/15/2016 6:17,1,1,No Injury,3
2016-00002928,1/15/2016 6:17,2,1,No Injury,3
2016-00001752,1/9/2016 18:58,1,1,Non-Incapacitating,5
2016-00002992,1/15/2016 12:28,1,1,No Injury,3
2016-00002992,1/15/2016 12:28,1,2,No Injury,3
2016-00002992,1/15/2016 12:28,2,1,Possible,4
2016-00003026,1/15/2016 15:12,1,1,No Injury,3
2016-00003026,1/15/2016 15:12,2,1,Possible,4
2016-00001061,1/6/2016 8:52,1,1,No Injury,3
2016-00001061,1/6/2016 8:52,1,2,No Injury,3
2016-00001061,1/6/2016 8:52,1,3,No Injury,3
2016-00001061,1/6/2016 8:52,2,1,No Injury,3
2016-00001061,1/6/2016 8:52,2,2,No Injury,3
2016-00003086,1/15/2016 19:39,1,1,No Injury,3
2016-00003086,1/15/2016 19:39,1,2,No Injury,3
2016-00003086,1/15/2016 19:39,2,1,No Injury,3
2016-00003086,1/15/2016 19:39,2,2,No Injury,3
2016-00003086,1/15/2016 19:39,2,3,No Injury,3
2016-00002598,1/13/2016 11:01,1,1,No Injury,3
2016-00002598,1/13/2016 11:01,2,1,No Injury,3
2016-00003526,1/17/2016 19:30,1,1,No Injury,3
2016-00003680,1/18/2016 14:20,1,1,No Injury,3
2016-00003680,1/18/2016 14:20,1,2,No Injury,3
2016-00003680,1/18/2016 14:20,2,1,No Injury,3
2016-00003911,1/19/2016 16:17,1,1,No Injury,3
2016-00003911,1/19/2016 16:17,2,1,No Injury,3
2016-00002356,1/5/2016 15:57,1,1,No Injury,3
2016-00002356,1/5/2016 15:57,2,1,No Injury,3
2016-00003396,1/17/2016 1:25,1,1,Possible,4
2016-00003468,1/17/2016 13:54,1,1,No Injury,3
2016-00003468,1/17/2016 13:54,1,2,No Injury,3
2016-00003468,1/17/2016 13:54,2,1,No Injury,3
2016-00003468,1/17/2016 13:54,2,2,No Injury,3
2016-00003468,1/17/2016 13:54,2,3,No Injury,3
2016-00003615,1/18/2016 9:10,1,1,Possible,4
2016-00003615,1/18/2016 9:10,1,2,Possible,4
2016-00003615,1/18/2016 9:10,2,1,Possible,4
2016-00003737,1/18/2016 19:41,1,1,No Injury,3
2016-00003737,1/18/2016 19:41,2,1,No Injury,3
2016-00003737,1/18/2016 19:41,2,2,No Injury,3
2016-00003753,1/18/2016 21:21,1,1,No Injury,3
2016-00003753,1/18/2016 21:21,2,1,No Injury,3
2016-00004040,1/20/2016 8:41,1,1,No Injury,3
2016-00004040,1/20/2016 8:41,2,1,No Injury,3
2016-00004214,1/20/2016 22:10,1,1,No Injury,3
2016-00004214,1/20/2016 22:10,2,1,No Injury,3
2016-00004214,1/20/2016 22:10,2,2,No Injury,3
2016-00002592,1/13/2016 17:07,1,1,No Injury,3
2016-00002592,1/13/2016 17:07,1,2,No Injury,3
2016-00002592,1/13/2016 17:07,2,1,No Injury,3
2016-00003189,1/16/2016 10:57,1,1,No Injury,3
2016-00003189,1/16/2016 10:57,2,1,No Injury,3
2016-00002971,1/15/2016 10:45,2,1,Not Applicable,1
2016-00002971,1/15/2016 10:45,1,1,Possible,4
2016-00004282,1/21/2016 9:16,1,1,Incapacitating,6
2016-00003034,1/15/2016 15:37,1,1,No Injury,3
2016-00003034,1/15/2016 15:37,1,2,No Injury,3
2016-00003034,1/15/2016 15:37,1,3,No Injury,3
2016-00003034,1/15/2016 15:37,1,4,No Injury,3
2016-00003034,1/15/2016 15:37,2,1,Non-Incapacitating,5
2016-00002613,1/13/2016 15:00,2,1,Not Applicable,1
2016-00002613,1/13/2016 15:00,1,1,Unknown,2
2016-00004199,1/20/2016 20:20,2,1,Not Applicable,1
2016-00004199,1/20/2016 20:20,1,1,Unknown,2
2016-00004277,1/21/2016 8:25,1,1,No Injury,3
2016-00004277,1/21/2016 8:25,2,2,No Injury,3
2016-00004277,1/21/2016 8:25,2,1,Possible,4
2016-00004347,1/21/2016 14:14,1,1,No Injury,3
2016-00004347,1/21/2016 14:14,2,1,No Injury,3
2016-00004526,1/22/2016 9:48,1,1,No Injury,3
2016-00004526,1/22/2016 9:48,2,1,No Injury,3
2016-00004526,1/22/2016 9:48,2,2,No Injury,3
2016-00004204,1/20/2016 21:12,1,1,No Injury,3
2016-00004204,1/20/2016 21:12,2,1,No Injury,3
2016-00004204,1/20/2016 21:12,2,2,No Injury,3
2016-00003811,1/19/2016 9:00,1,1,Unknown,2
2016-00003811,1/19/2016 9:00,1,2,No Injury,3
2016-00003811,1/19/2016 9:00,2,1,No Injury,3
2016-00004563,1/22/2016 12:15,1,1,No Injury,3
2016-00004563,1/22/2016 12:15,1,2,No Injury,3
2016-00004563,1/22/2016 12:15,1,3,No Injury,3
2016-00004563,1/22/2016 12:15,2,1,Possible,4
2016-00005015,1/24/2016 1:13,2,1,Not Applicable,1
2016-00005015,1/24/2016 1:13,1,1,No Injury,3
2016-00004703,1/22/2016 22:41,1,1,No Injury,3
2016-00004597,1/22/2016 14:45,1,1,No Injury,3
2016-00004597,1/22/2016 14:45,2,1,No Injury,3
2016-00005154,1/24/2016 17:12,2,1,Non-Incapacitating,5
2016-00005154,1/24/2016 17:12,1,1,Incapacitating,6
2016-00003755,1/18/2016 22:07,2,1,Possible,4
2016-00003755,1/18/2016 22:07,1,1,Non-Incapacitating,5
2016-00005156,1/24/2016 17:24,1,1,Not Applicable,1
2016-00005156,1/24/2016 17:24,2,2,No Injury,3
2016-00005156,1/24/2016 17:24,2,1,Possible,4
2016-00004519,1/22/2016 9:30,1,1,Possible,4
2016-00004882,1/23/2016 16:22,1,1,No Injury,3
2016-00004882,1/23/2016 16:22,1,2,No Injury,3
2016-00004882,1/23/2016 16:22,1,3,No Injury,3
2016-00004882,1/23/2016 16:22,2,1,No Injury,3
2016-00005420,1/25/2016 17:51,1,1,No Injury,3
2016-00005420,1/25/2016 17:51,2,1,No Injury,3
2016-00002098,1/11/2016 15:05,1,1,No Injury,3
2016-00002098,1/11/2016 15:05,1,2,No Injury,3
2016-00002098,1/11/2016 15:05,2,1,No Injury,3
2016-00004126,1/20/2016 14:45,2,1,No Injury,3
2016-00004126,1/20/2016 14:45,3,1,No Injury,3
2016-00004126,1/20/2016 14:45,1,1,Non-Incapacitating,5
2016-00005114,1/24/2016 13:40,1,1,No Injury,3
2016-00005114,1/24/2016 13:40,2,1,No Injury,3
2016-00005114,1/24/2016 13:40,3,1,No Injury,3
2016-00005114,1/24/2016 13:40,3,2,No Injury,3
2016-00005279,1/25/2016 7:58,1,1,No Injury,3
2016-00005279,1/25/2016 7:58,2,1,No Injury,3
2016-00004858,1/23/2016 14:51,1,2,No Injury,3
2016-00004858,1/23/2016 14:51,2,1,No Injury,3
2016-00004858,1/23/2016 14:51,1,1,Possible,4
2016-00005435,1/25/2016 19:06,2,1,No Injury,3
2016-00005435,1/25/2016 19:06,1,1,Non-Incapacitating,5
2016-00004271,1/21/2016 8:04,1,1,No Injury,3
2016-00004271,1/21/2016 8:04,2,1,No Injury,3
2016-00005038,1/24/2016 1:22,2,1,Not Applicable,1
2016-00005038,1/24/2016 1:22,1,1,No Injury,3
2016-00005337,1/25/2016 12:22,1,1,No Injury,3
2016-00005337,1/25/2016 12:22,1,2,No Injury,3
2016-00005337,1/25/2016 12:22,2,1,No Injury,3
2016-00005281,1/25/2016 7:59,2,1,No Injury,3
2016-00005281,1/25/2016 7:59,1,1,Possible,4
2016-00005479,1/25/2016 23:20,1,1,Possible,4
2016-00005516,1/26/2016 8:29,1,1,Not Applicable,1
2016-00005516,1/26/2016 8:29,2,1,No Injury,3
2016-00004511,1/22/2016 8:56,2,1,No Injury,3
2016-00004511,1/22/2016 8:56,3,1,No Injury,3
2016-00004511,1/22/2016 8:56,1,1,Possible,4
2016-00004511,1/22/2016 8:56,1,2,Possible,4
2016-00003701,1/18/2016 15:41,1,1,No Injury,3
2016-00003701,1/18/2016 15:41,1,2,No Injury,3
2016-00003701,1/18/2016 15:41,2,1,No Injury,3
2016-00004603,1/22/2016 15:18,1,1,No Injury,3
2016-00004603,1/22/2016 15:18,2,1,No Injury,3
2016-00004025,1/20/2016 7:45,1,1,No Injury,3
2016-00004025,1/20/2016 7:45,2,1,No Injury,3
2016-00004025,1/20/2016 7:45,2,2,No Injury,3
2016-00005663,1/26/2016 20:58,1,1,Possible,4
2016-00005663,1/26/2016 20:58,2,1,Possible,4
2016-00005753,1/27/2016 10:15,1,1,No Injury,3
2016-00005753,1/27/2016 10:15,2,1,Possible,4
2016-00005805,1/27/2016 14:19,1,1,No Injury,3
2016-00005805,1/27/2016 14:19,2,1,No Injury,3
2016-00005806,1/27/2016 14:19,1,1,No Injury,3
2016-00005806,1/27/2016 14:19,2,1,No Injury,3
2016-00005806,1/27/2016 14:19,2,2,No Injury,3
2016-00005813,1/27/2016 14:51,1,1,Incapacitating,6
2016-00004367,1/21/2016 16:15,1,1,No Injury,3
2016-00004367,1/21/2016 16:15,2,1,No Injury,3
2016-00005595,1/26/2016 14:49,1,1,No Injury,3
2016-00005595,1/26/2016 14:49,2,1,No Injury,3
2016-00005760,1/27/2016 10:58,1,1,No Injury,3
2016-00005760,1/27/2016 10:58,2,1,Non-Incapacitating,5
2016-00005809,1/27/2016 13:45,1,1,No Injury,3
2016-00005809,1/27/2016 13:45,2,1,No Injury,3
2016-00005809,1/27/2016 13:45,2,2,No Injury,3
2016-00005809,1/27/2016 13:45,2,3,No Injury,3
2016-00006096,1/28/2016 17:42,1,1,No Injury,3
2016-00006096,1/28/2016 17:42,2,1,No Injury,3
2016-00006235,1/29/2016 10:34,1,1,No Injury,3
2016-00006235,1/29/2016 10:34,2,1,No Injury,3
2016-00005751,1/27/2016 10:09,1,1,No Injury,3
2016-00005751,1/27/2016 10:09,2,1,No Injury,3
2016-00004987,1/23/2016 23:46,1,1,Possible,4
2016-00006419,1/30/2016 2:07,1,1,No Injury,3
2016-00006419,1/30/2016 2:07,2,1,No Injury,3
2016-00006280,1/29/2016 13:56,1,1,No Injury,3
2016-00006280,1/29/2016 13:56,3,1,No Injury,3
2016-00006280,1/29/2016 13:56,2,1,Possible,4
2016-00003441,1/17/2016 9:43,1,1,No Injury,3
2016-00003441,1/17/2016 9:43,1,2,No Injury,3
2016-00003441,1/17/2016 9:43,1,3,No Injury,3
2016-00003441,1/17/2016 9:43,2,1,Non-Incapacitating,5
2016-00003715,1/18/2016 16:51,1,1,No Injury,3
2016-00003715,1/18/2016 16:51,2,1,No Injury,3
2016-00003715,1/18/2016 16:51,2,2,No Injury,3
2016-00003715,1/18/2016 16:51,2,3,No Injury,3
2016-00005850,1/27/2016 17:36,1,1,Non-Incapacitating,5
2016-00005850,1/27/2016 17:36,2,1,Non-Incapacitating,5
2016-00002572,1/13/2016 15:52,1,2,Unknown,2
2016-00002572,1/13/2016 15:52,1,3,Unknown,2
2016-00002572,1/13/2016 15:52,1,4,Unknown,2
2016-00002572,1/13/2016 15:52,1,5,Unknown,2
2016-00002572,1/13/2016 15:52,1,6,Unknown,2
2016-00002572,1/13/2016 15:52,1,7,Unknown,2
2016-00002572,1/13/2016 15:52,1,8,Unknown,2
2016-00002572,1/13/2016 15:52,1,9,Unknown,2
2016-00002572,1/13/2016 15:52,1,10,Unknown,2
2016-00002572,1/13/2016 15:52,1,1,No Injury,3
2016-00002572,1/13/2016 15:52,2,1,No Injury,3
2016-00002572,1/13/2016 15:52,2,2,No Injury,3
2016-00002572,1/13/2016 15:52,2,3,No Injury,3
2016-00005169,1/24/2016 18:49,1,1,No Injury,3
2016-00006209,1/29/2016 8:55,1,1,No Injury,3
2016-00006209,1/29/2016 8:55,2,1,No Injury,3
2016-00006209,1/29/2016 8:55,3,1,No Injury,3
2016-00006321,1/29/2016 16:52,1,1,No Injury,3
2016-00006321,1/29/2016 16:52,2,1,No Injury,3
2016-00006321,1/29/2016 16:52,2,2,No Injury,3
2016-00006321,1/29/2016 16:52,2,3,No Injury,3
2016-00005638,1/26/2016 18:13,1,1,No Injury,3
2016-00005638,1/26/2016 18:13,2,1,Possible,4
2016-00005638,1/26/2016 18:13,2,2,Possible,4
2016-00006040,1/28/2016 13:58,1,1,No Injury,3
2016-00006040,1/28/2016 13:58,2,1,No Injury,3
2016-00006173,1/29/2016 0:53,1,1,Non-Incapacitating,5
2016-00006173,1/29/2016 0:53,1,2,Non-Incapacitating,5
2016-00006536,1/30/2016 16:20,1,1,No Injury,3
2016-00006536,1/30/2016 16:20,2,1,No Injury,3
2016-00006281,1/29/2016 13:57,1,1,No Injury,3
2016-00006281,1/29/2016 13:57,1,2,No Injury,3
2016-00006281,1/29/2016 13:57,1,3,No Injury,3
2016-00006281,1/29/2016 13:57,2,1,No Injury,3
2016-00006292,1/29/2016 14:38,1,1,No Injury,3
2016-00006292,1/29/2016 14:38,1,2,No Injury,3
2016-00006292,1/29/2016 14:38,1,3,No Injury,3
2016-00006292,1/29/2016 14:38,1,4,No Injury,3
2016-00006292,1/29/2016 14:38,2,1,No Injury,3
2016-00006292,1/29/2016 14:38,2,2,No Injury,3
2016-00006315,1/29/2016 16:31,1,1,No Injury,3
2016-00006315,1/29/2016 16:31,2,1,No Injury,3
2016-00006315,1/29/2016 16:31,2,2,No Injury,3
2016-00006737,1/31/2016 15:02,1,1,No Injury,3
2016-00006737,1/31/2016 15:02,2,1,No Injury,3
2016-00006737,1/31/2016 15:02,2,2,No Injury,3
2016-00006737,1/31/2016 15:02,2,3,No Injury,3
2016-00006737,1/31/2016 15:02,2,4,No Injury,3
2016-00006316,1/29/2016 16:39,1,1,No Injury,3
2016-00006316,1/29/2016 16:39,2,1,No Injury,3
2016-00005963,1/28/2016 8:42,1,1,No Injury,3
2016-00005963,1/28/2016 8:42,2,1,No Injury,3
2016-00005963,1/28/2016 8:42,3,1,No Injury,3
2016-00006015,1/28/2016 11:54,2,1,Not Applicable,1
2016-00006015,1/28/2016 11:54,1,1,Unknown,2
2016-00005707,1/27/2016 7:12,2,1,No Injury,3
2016-00005707,1/27/2016 7:12,3,1,No Injury,3
2016-00005707,1/27/2016 7:12,1,1,Non-Incapacitating,5
2016-00005874,1/27/2016 18:45,1,1,No Injury,3
2016-00005874,1/27/2016 18:45,2,1,No Injury,3
2016-00005874,1/27/2016 18:45,2,2,No Injury,3
2016-00006830,1/31/2016 22:06,1,1,No Injury,3
2016-00006830,1/31/2016 22:06,2,1,No Injury,3
2016-00006830,1/31/2016 22:06,2,2,No Injury,3
2016-00002714,1/14/2016 9:09,1,1,No Injury,3
2016-00002714,1/14/2016 9:09,2,1,No Injury,3
2016-00002714,1/14/2016 9:09,2,2,No Injury,3
2016-00002714,1/14/2016 9:09,3,1,No Injury,3
2016-00006260,1/29/2016 12:26,1,1,No Injury,3
2016-00006260,1/29/2016 12:26,2,3,No Injury,3
2016-00006260,1/29/2016 12:26,2,4,No Injury,3
2016-00006260,1/29/2016 12:26,2,5,No Injury,3
2016-00006260,1/29/2016 12:26,2,6,No Injury,3
2016-00006260,1/29/2016 12:26,2,2,Possible,4
2016-00006260,1/29/2016 12:26,2,1,Non-Incapacitating,5
2016-00005971,1/28/2016 9:03,1,1,No Injury,3
2016-00005971,1/28/2016 9:03,2,1,No Injury,3
2016-00005971,1/28/2016 9:03,2,2,No Injury,3
2016-00005971,1/28/2016 9:03,2,3,No Injury,3
2016-00006080,1/27/2016 16:11,1,1,No Injury,3
2016-00006080,1/27/2016 16:11,2,1,No Injury,3
2016-00006080,1/27/2016 16:11,2,2,Possible,4
2016-00006379,1/29/2016 22:00,2,1,Not Applicable,1
2016-00006379,1/29/2016 22:00,1,1,Unknown,2
2016-00006379,1/29/2016 22:00,1,2,Unknown,2
2016-00006259,1/29/2016 12:14,1,1,No Injury,3
2016-00006259,1/29/2016 12:14,2,1,No Injury,3
2016-00006259,1/29/2016 12:14,2,2,No Injury,3
2016-00001123,1/6/2016 14:03,1,1,No Injury,3
2016-00001123,1/6/2016 14:03,2,1,No Injury,3
2016-00001794,1/9/2016 23:19,1,1,No Injury,3
2016-00001794,1/9/2016 23:19,2,1,Possible,4
2016-00005417,1/25/2016 17:37,1,1,No Injury,3
2016-00005417,1/25/2016 17:37,2,1,No Injury,3
2016-00001583,1/8/2016 21:21,1,1,No Injury,3
2016-00005882,1/27/2016 20:01,1,1,No Injury,3
2016-00005882,1/27/2016 20:01,2,2,No Injury,3
