AccidentDatetime,CaseNumber,ORI,HouseNumber,StreetPrefix,StreetPreType,StreetName,StreetType,StreetSuffix,XStreetPrefix,XStreetPreType,XStreetName,XStreetType,XStreetSuffix,UnitNumber,UnitType,DriverPedCondition,ChemicalTest,ContributingFactors
1/3/2022,2022-00000383,OK0140200,,W,,ROBINSON,ST,,N,,INTERSTATE,DR,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/3/2022,2022-00000385,OK0140200,,,,24TH,AVE,SW,,,SPRINGER,DR,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/3/2022,2022-00000385,OK0140200,,,,24TH,AVE,SW,,,SPRINGER,DR,,1,D - Driver,Apparently Normal,None Given,To Vehicle in Intersection
1/3/2022,2022-00000424,OK0140200,,E,,STATE HWY 9,HWY,,,,156TH,AVE,NE,1,D - Driver,Apparently Normal,None Given,Improper Overtaking Other
1/3/2022,2022-00000424,OK0140200,,E,,STATE HWY 9,HWY,,,,156TH,AVE,NE,2,D - Driver,Apparently Normal,None Given,From Direct Course
1/4/2022,2022-00000490,OK0140200,,,,BEAUMONT,ST,,,,BILOXI,DR,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/4/2022,2022-00000490,OK0140200,,,,BEAUMONT,ST,,,,BILOXI,DR,,1,D - Driver,Apparently Normal,None Given,Other Distraction Inside
1/4/2022,2022-00000495,OK0140200,,,,VICKSBURG,AVE,,,,BEAUMONT,DR,,2,D - Driver,Unknown,None Given,Improper Act Other Unkn
1/4/2022,2022-00000495,OK0140200,,,,VICKSBURG,AVE,,,,BEAUMONT,DR,,1,B - Bicyclist,Apparently Normal,Not Applicable,Fail to Yield Other
1/4/2022,2022-00000518,OK0140200,,,,PRIVATE PROPERTY / 850 ED NOBLE PKWY,,,,,,,,1,D - Driver,Apparently Normal,None Given,Incident Report
1/4/2022,2022-00000518,OK0140200,,,,PRIVATE PROPERTY / 850 ED NOBLE PKWY,,,,,,,,2,D - Driver,Not Applicable,None Given,Incident Report
1/4/2022,2022-00000524,OK0140200,,W,,ROBINSON,ST,,,,WOODS,AVE,,1,D - Driver,Apparently Normal,None Given,Traffic Condition
1/4/2022,2022-00000524,OK0140200,,W,,ROBINSON,ST,,,,WOODS,AVE,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/4/2022,2022-00000524,OK0140200,,W,,ROBINSON,ST,,,,WOODS,AVE,,3,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/4/2022,2022-00000550,OK0140200,,E,,ROBINSON,ST,,N,,PORTER,AVE,,1,D - Driver,Apparently Normal,None Given,Improper Act Other Unkn
1/4/2022,2022-00000550,OK0140200,,E,,ROBINSON,ST,,N,,PORTER,AVE,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/4/2022,2022-00000619,OK0140200,,,,S CLASSEN BLVD / E STATE HWY 9 HWY,,,,,,,,2,D - Driver,Apparently Normal,None Given,Improper Act Other Unkn
1/4/2022,2022-00000619,OK0140200,,,,S CLASSEN BLVD / E STATE HWY 9 HWY,,,,,,,,1,D - Driver,Apparently Normal,None Given,Improper Act Other Unkn
1/4/2022,2022-00000627,OK0140200,,,,12TH,AVE,SE,E,,BOYD,ST,,3,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/4/2022,2022-00000627,OK0140200,,,,12TH,AVE,SE,E,,BOYD,ST,,2,D - Driver,Apparently Normal,None Given,Improper Act Other Unkn
1/4/2022,2022-00000627,OK0140200,,,,12TH,AVE,SE,E,,BOYD,ST,,1,D - Driver,Emotional,None Given,Improper Act Other Unkn
1/4/2022,2022-00000628,OK0140200,,,,12TH,AVE,NE,,,MORREN,DR,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/4/2022,2022-00000628,OK0140200,,,,12TH,AVE,NE,,,MORREN,DR,,3,D - Driver,Drinking - Ability Impaired,None Given,No Improper Action by Driver
1/4/2022,2022-00000628,OK0140200,,,,12TH,AVE,NE,,,MORREN,DR,,1,D - Driver,Other,None Given,Left of Center Other
1/5/2022,2022-00000734,OK0140200,,W,,ROBINSON,ST,,,,24TH,AVE,NW,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/5/2022,2022-00000734,OK0140200,,W,,ROBINSON,ST,,,,24TH,AVE,NW,3,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/5/2022,2022-00000734,OK0140200,,W,,ROBINSON,ST,,,,24TH,AVE,NW,1,D - Driver,Apparently Normal,None Given,Inattention Other
1/5/2022,2022-00000795,OK0140200,,W,,TECUMSEH,RD,,,,I35 NB ON RAMP 112,RAMP,,1,D - Driver,Apparently Normal,None Given,Improper Act Other Unkn
1/5/2022,2022-00000795,OK0140200,,W,,TECUMSEH,RD,,,,I35 NB ON RAMP 112,RAMP,,2,D - Driver,Apparently Normal,None Given,Improper Act Other Unkn
1/5/2022,2022-00000807,OK0140200,,,,MIMOSA,DR,,N,,PORTER,AVE,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/5/2022,2022-00000807,OK0140200,,,,MIMOSA,DR,,N,,PORTER,AVE,,1,D - Driver,Apparently Normal,None Given,From Stop Sign
1/5/2022,2022-00000810,OK0140200,,W,,GRAY,ST,,N,,WEBSTER,AVE,,1,D - Driver,Apparently Normal,None Given,For Traffic Signal
1/5/2022,2022-00000810,OK0140200,,W,,GRAY,ST,,N,,WEBSTER,AVE,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/4/2022,2022-00000813,OK0140200,,S,,PONCA,AVE,,E,,APACHE,ST,,1,D - Driver,Apparently Normal,None Given,From Stop Sign
1/4/2022,2022-00000813,OK0140200,,S,,PONCA,AVE,,E,,APACHE,ST,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/5/2022,2022-00000819,OK0140200,,,,24TH,AVE,NW,W,,MAIN,ST,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/5/2022,2022-00000819,OK0140200,,,,24TH,AVE,NW,W,,MAIN,ST,,1,D - Driver,Apparently Normal,None Given,Improper Act Other Unkn
1/5/2022,2022-00000848,OK0140200,,,,24TH,AVE,NW,W,,TECUMSEH,RD,,1,D - Driver,Apparently Normal,None Given,Other Distraction Inside
1/6/2022,2022-00000911,OK0140200,,W,,ROCK CREEK,RD,,,,PENDLETON,DR,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/6/2022,2022-00000911,OK0140200,,W,,ROCK CREEK,RD,,,,PENDLETON,DR,,1,D - Driver,Apparently Normal,None Given,From Stop Sign
1/6/2022,2022-00000941,OK0140200,,W,,ROBINSON,ST,,N,,INTERSTATE,DR,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/6/2022,2022-00000941,OK0140200,,W,,ROBINSON,ST,,N,,INTERSTATE,DR,,1,D - Driver,Apparently Normal,None Given,Improper Use of Lane
1/6/2022,2022-00000951,OK0140200,,W,,GRAY,ST,,N,,WEBSTER,AVE,,1,D - Driver,Apparently Normal,None Given,From Signal Light
1/6/2022,2022-00000951,OK0140200,,W,,GRAY,ST,,N,,WEBSTER,AVE,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/6/2022,2022-00000980,OK0140200,,,,28TH AVE SW / I35 SB ON RAMP 108B,,,,,,,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/6/2022,2022-00000980,OK0140200,,,,28TH AVE SW / I35 SB ON RAMP 108B,,,,,,,,1,D - Driver,Apparently Normal,None Given,From Yield Sign
1/6/2022,2022-00000989,OK0140200,,N,,INTERSTATE,DR,,W,,INDIAN HILLS,RD,,1,D - Driver,Apparently Normal,None Given,Improper Act Other Unkn
1/6/2022,2022-00000989,OK0140200,,N,,INTERSTATE,DR,,W,,INDIAN HILLS,RD,,2,D - Driver,Apparently Normal,None Given,Improper Act Other Unkn
1/6/2022,2022-00001002,OK0140200,,,,CHERRY CREEK,DR,,,,HUGHES,CIR,,1,D - Driver,Apparently Normal,None Given,Improper Act Other Unkn
1/7/2022,2022-00001078,OK0140200,,,,BUD WILKINSON,DR,,,,24TH,AVE,SW,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/7/2022,2022-00001078,OK0140200,,,,BUD WILKINSON,DR,,,,24TH,AVE,SW,1,D - Driver,Apparently Normal,None Given,Improper Backing
1/7/2022,2022-00001122,OK0140200,,,,SONOMA PARK,DR,,,,12TH,AVE,NE,3,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/7/2022,2022-00001122,OK0140200,,,,SONOMA PARK,DR,,,,12TH,AVE,NE,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/7/2022,2022-00001122,OK0140200,,,,SONOMA PARK,DR,,,,12TH,AVE,NE,1,D - Driver,Apparently Normal,None Given,Inattention Other
1/7/2022,2022-00001161,OK0140200,,W,,TECUMSEH,RD,,,,HEALTHPLEX,PKWY,,1,D - Driver,Apparently Normal,None Given,For Traffic Signal
1/7/2022,2022-00001161,OK0140200,,W,,TECUMSEH,RD,,,,HEALTHPLEX,PKWY,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/7/2022,2022-00001174,OK0140200,,E,,STATE HWY 9,HWY,,,,156TH,AVE,NE,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/7/2022,2022-00001174,OK0140200,,E,,STATE HWY 9,HWY,,,,156TH,AVE,NE,1,D - Driver,Apparently Normal,None Given,Other Distraction Inside
1/8/2022,2022-00001254,OK0140200,,W,,ROBINSON,ST,,,,48TH,AVE,NW,1,D - Driver,Apparently Normal,None Given,Rain or Wet Roadway
1/8/2022,2022-00001267,OK0140200,,,,CLASSEN,BLVD,,,,SH9 EB ON RAMP,RAMP,,1,D - Driver,Apparently Normal,None Given,For Traffic Signal
1/8/2022,2022-00001267,OK0140200,,,,CLASSEN,BLVD,,,,SH9 EB ON RAMP,RAMP,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/8/2022,2022-00001306,OK0140200,,E,,GRAY,ST,,N,,PONCA,AVE,,1,D - Driver,Apparently Normal,None Given,From Stop Sign
1/8/2022,2022-00001306,OK0140200,,E,,GRAY,ST,,N,,PONCA,AVE,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/9/2022,2022-00001352,OK0140200,,,,PRIVATE PROPERTY / 6221 N INTERSTATE DR E,,,,,,,,1,D - Driver,Unknown,None Given,Alcohol DUI/DWI
1/9/2022,2022-00001352,OK0140200,,,,PRIVATE PROPERTY / 6221 N INTERSTATE DR E,,,,,,,,2,C - Parked Car,Not Applicable,None Given,No Improper Action by Driver
1/8/2022,2022-00001373,OK0140200,,,,CHAUTAUQUA,AVE,,,,CANADIAN TRAILS,DR,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/8/2022,2022-00001373,OK0140200,,,,CHAUTAUQUA,AVE,,,,CANADIAN TRAILS,DR,,1,D - Driver,Unknown,None Given,Improper Act Other Unkn
1/9/2022,2022-00001430,OK0140200,,,,12TH,AVE,SE,,,ALAMEDA,ST,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/9/2022,2022-00001430,OK0140200,,,,12TH,AVE,SE,,,ALAMEDA,ST,,1,D - Driver,Apparently Normal,None Given,To Vehicle in Intersection
1/10/2022,2022-00001541,OK0140200,,W,,MAIN,ST,,,,I35 NB ON RAMP 109,RAMP,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/10/2022,2022-00001541,OK0140200,,W,,MAIN,ST,,,,I35 NB ON RAMP 109,RAMP,,3,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/10/2022,2022-00001541,OK0140200,,W,,MAIN,ST,,,,I35 NB ON RAMP 109,RAMP,,4,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/10/2022,2022-00001541,OK0140200,,W,,MAIN,ST,,,,I35 NB ON RAMP 109,RAMP,,5,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/10/2022,2022-00001541,OK0140200,,W,,MAIN,ST,,,,I35 NB ON RAMP 109,RAMP,,6,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/10/2022,2022-00001541,OK0140200,,W,,MAIN,ST,,,,I35 NB ON RAMP 109,RAMP,,1,D - Driver,Ill (sick),None Given,Improper Act Other Unkn
1/10/2022,2022-00001549,OK0140200,,W,,TECUMSEH,RD,,N,,FLOOD,AVE,,1,D - Driver,Apparently Normal,None Given,In Front of Oncoming Traffic
1/10/2022,2022-00001549,OK0140200,,W,,TECUMSEH,RD,,N,,FLOOD,AVE,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/10/2022,2022-00001584,OK0140200,,,,ALAMEDA,ST,,,,12TH,AVE,NE,1,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/10/2022,2022-00001598,OK0140200,,W,,LINDSEY,ST,,,,24TH,AVE,SW,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/10/2022,2022-00001598,OK0140200,,W,,LINDSEY,ST,,,,24TH,AVE,SW,1,D - Driver,Apparently Normal,None Given,Traffic Condition
1/10/2022,2022-00001657,OK0140200,,,,SB I35 OFF RAMP / E STATE HWY 9 HWY,,,,,,,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/10/2022,2022-00001657,OK0140200,,,,SB I35 OFF RAMP / E STATE HWY 9 HWY,,,,,,,,1,D - Driver,Apparently Normal,None Given,Changed Lanes Unsafely
1/11/2022,2022-00001760,OK0140200,,W,,LINDSEY,ST,,,,24TH,AVE,SW,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/11/2022,2022-00001760,OK0140200,,W,,LINDSEY,ST,,,,24TH,AVE,SW,1,D - Driver,Apparently Normal,None Given,Private Drive
1/11/2022,2022-00001768,OK0140200,,,,24TH,AVE,SW,W,,LINDSEY,ST,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/11/2022,2022-00001768,OK0140200,,,,24TH,AVE,SW,W,,LINDSEY,ST,,1,D - Driver,Apparently Normal,None Given,To Vehicle in Intersection
1/11/2022,2022-00001778,OK0140200,,,,24TH,AVE,NE,,,ALAMEDA,ST,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/11/2022,2022-00001778,OK0140200,,,,24TH,AVE,NE,,,ALAMEDA,ST,,1,D - Driver,Unknown,None Given,Inattention Other
1/11/2022,2022-00001810,OK0140200,,E,,CEDAR LANE,RD,,,,CLASSEN,BLVD,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/11/2022,2022-00001810,OK0140200,,E,,CEDAR LANE,RD,,,,CLASSEN,BLVD,,1,D - Driver,Apparently Normal,None Given,Other Distraction Inside
1/12/2022,2022-00001869,OK0140200,,W,,STATE HWY 9,HWY,,,,MCGEE,DR,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/12/2022,2022-00001869,OK0140200,,W,,STATE HWY 9,HWY,,,,MCGEE,DR,,1,D - Driver,Unknown,Not Applicable,Traffic Condition
1/12/2022,2022-00001870,OK0140200,,S,,BERRY,RD,,W,,BROOKS,ST,,1,D - Driver,Odor of Alcohol Beverage,Blood,Drug - DUI
1/12/2022,2022-00001885,OK0140200,,,,PRIVATE PROPERTY / 800 W ROBINSON ST,,,,,,,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/12/2022,2022-00001885,OK0140200,,,,PRIVATE PROPERTY / 800 W ROBINSON ST,,,,,,,,1,D - Driver,Emotional,None Given,Improper Backing
1/12/2022,2022-00001914,OK0140200,,W,,ROCK CREEK,RD,,,,24TH,AVE,NW,2,D - Driver,Apparently Normal,None Given,Right
1/12/2022,2022-00001914,OK0140200,,W,,ROCK CREEK,RD,,,,24TH,AVE,NW,1,D - Driver,Apparently Normal,None Given,At Intersection
1/12/2022,2022-00001927,OK0140200,,W,,MAIN,ST,,,,24TH,AVE,NW,1,D - Driver,Apparently Normal,None Given,Traffic Condition
1/12/2022,2022-00001927,OK0140200,,W,,MAIN,ST,,,,24TH,AVE,NW,2,D - Driver,Apparently Normal,Test Refused,No Improper Action by Driver
1/12/2022,2022-00001935,OK0140200,,,,ALAMEDA,ST,,,,48TH,AVE,NE,1,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/12/2022,2022-00001935,OK0140200,,,,ALAMEDA,ST,,,,48TH,AVE,NE,2,D - Driver,Apparently Normal,None Given,From Stop Sign
1/12/2022,2022-00001957,OK0140200,,E,,ROBINSON,ST,,N,,PETERS,AVE,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/12/2022,2022-00001957,OK0140200,,E,,ROBINSON,ST,,N,,PETERS,AVE,,3,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/12/2022,2022-00001957,OK0140200,,E,,ROBINSON,ST,,N,,PETERS,AVE,,1,D - Driver,Apparently Normal,None Given,Other Distraction Inside
1/12/2022,2022-00001960,OK0140200,,,,ALAMEDA,ST,,,,48TH,AVE,SE,1,D - Driver,Apparently Normal,None Given,From Stop Sign
1/12/2022,2022-00001960,OK0140200,,,,ALAMEDA,ST,,,,48TH,AVE,SE,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/12/2022,2022-00001973,OK0140200,,W,,STATE HWY 9,HWY,,S,,BERRY,RD,,1,D - Driver,Apparently Normal,None Given,Traffic Condition
1/12/2022,2022-00001973,OK0140200,,W,,STATE HWY 9,HWY,,S,,BERRY,RD,,2,D - Driver,Apparently Normal,None Given,Traffic Condition
1/12/2022,2022-00001973,OK0140200,,W,,STATE HWY 9,HWY,,S,,BERRY,RD,,3,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/12/2022,2022-00001989,OK0140200,,W,,LINDSEY,ST,,,,MCGEE,DR,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/12/2022,2022-00001989,OK0140200,,W,,LINDSEY,ST,,,,MCGEE,DR,,1,D - Driver,Apparently Normal,None Given,Private Drive
1/13/2022,2022-00002108,OK0140200,,,,GREENLEAF,TRLS,,,,MOUNT MITCHELL,LN,,1,D - Driver,Ill (sick),None Given,Improper Backing
1/13/2022,2022-00002133,OK0140200,,,,WHEATLAND,DR,,,,24TH,AVE,SE,1,D - Driver,Apparently Normal,Not Applicable,From Stop Sign
1/13/2022,2022-00002133,OK0140200,,,,WHEATLAND,DR,,,,24TH,AVE,SE,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/13/2022,2022-00002143,OK0140200,,W,,MAIN,ST,,N,,JAMES GARNER,AVE,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/13/2022,2022-00002143,OK0140200,,W,,MAIN,ST,,N,,JAMES GARNER,AVE,,1,D - Driver,Illegal Drugs,Test Refused,Drug - DUI
1/13/2022,2022-00002170,OK0140200,,W,,MAIN,ST,,,,24TH,AVE,NW,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/13/2022,2022-00002170,OK0140200,,W,,MAIN,ST,,,,24TH,AVE,NW,1,D - Driver,Unknown,None Given,Other Distraction Inside
1/13/2022,2022-00002178,OK0140200,,,,12TH,AVE,SE,,,ALAMEDA,ST,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/13/2022,2022-00002178,OK0140200,,,,12TH,AVE,SE,,,ALAMEDA,ST,,1,B - Bicyclist,Apparently Normal,None Given,For Traffic Signal
1/14/2022,2022-00002202,OK0140200,,W,,STATE HWY 9,HWY,,,,CHAUTAUQUA,AVE,,1,D - Driver,Apparently Normal,Breath,Alcohol DUI/DWI
1/14/2022,2022-00002226,OK0140200,,,,12TH,AVE,NE,,,GRANITE,DR,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/14/2022,2022-00002226,OK0140200,,,,12TH,AVE,NE,,,GRANITE,DR,,1,D - Driver,Apparently Normal,None Given,Changed Lanes Unsafely
1/14/2022,2022-00002274,OK0140200,,,,ALAMEDA,ST,,,,12TH,AVE,NE,1,D - Driver,Apparently Normal,None Given,Distraction from Outside the Vehicle
1/14/2022,2022-00002274,OK0140200,,,,ALAMEDA,ST,,,,12TH,AVE,NE,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/15/2022,2022-00002471,OK0140200,,E,,GRAY,ST,,N,,JONES,AVE,,1,D - Driver,Apparently Normal,None Given,From Stop Sign
1/15/2022,2022-00002471,OK0140200,,E,,GRAY,ST,,N,,JONES,AVE,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/15/2022,2022-00002515,OK0140200,,W,,MAIN,ST,,,,24TH,AVE,NW,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/15/2022,2022-00002515,OK0140200,,W,,MAIN,ST,,,,24TH,AVE,NW,1,D - Driver,Apparently Normal,None Given,Other Distraction Inside
1/15/2022,2022-00002534,OK0140200,,W,,GRAY,ST,,N,,SANTA FE,AVE,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/15/2022,2022-00002534,OK0140200,,W,,GRAY,ST,,N,,SANTA FE,AVE,,1,D - Driver,Apparently Normal,None Given,Changed Lanes Unsafely
1/15/2022,2022-00002543,OK0140200,,,,PRIVATE PROPERTY / 1300 CLASSEN BLVD,,,,,,,,1,D - Driver,Unknown,None Given,Incident Report
1/15/2022,2022-00002543,OK0140200,,,,PRIVATE PROPERTY / 1300 CLASSEN BLVD,,,,,,,,2,C - Parked Car,Not Applicable,None Given,Incident Report
1/15/2022,2022-00002550,OK0140200,,,,PRIVATE PROPERTY / 622 N PORTER,,,,,,,,1,D - Driver,Drinking - Ability Impaired,Blood,Incident Report
1/16/2022,2022-00002636,OK0140200,,W,,MAIN,ST,,,,26TH,AVE,SW,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/16/2022,2022-00002636,OK0140200,,W,,MAIN,ST,,,,26TH,AVE,SW,1,D - Driver,Apparently Normal,None Given,To Emergency Vehicles
1/16/2022,2022-00002669,OK0140200,,E,,MAIN,ST,,N,,FINDLAY,AVE,,1,D - Driver,Unknown,None Given,Improper Act Other Unkn
1/16/2022,2022-00002669,OK0140200,,E,,MAIN,ST,,N,,FINDLAY,AVE,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/16/2022,2022-00002682,OK0140200,,,,CHAUTAUQUA,AVE,,W,,LINDSEY,ST,,1,D - Driver,Unknown,None Given,Improper Act Other Unkn
1/16/2022,2022-00002682,OK0140200,,,,CHAUTAUQUA,AVE,,W,,LINDSEY,ST,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/16/2022,2022-00002703,OK0140200,,,,72ND,AVE,SE,E,,CEDAR LANE,RD,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/16/2022,2022-00002703,OK0140200,,,,72ND,AVE,SE,E,,CEDAR LANE,RD,,1,D - Driver,Apparently Normal,None Given,For Stop Sign
1/17/2022,2022-00002754,OK0140200,,,,PRIVATE PROPERTY / 2424 W MAIN ST,,,,,,,,1,D - Driver,Apparently Normal,None Given,Incident Report
1/17/2022,2022-00002754,OK0140200,,,,PRIVATE PROPERTY / 2424 W MAIN ST,,,,,,,,2,D - Driver,Apparently Normal,None Given,Incident Report
1/17/2022,2022-00002756,OK0140200,,,,60TH,AVE,NE,E,,FRANKLIN,RD,,1,D - Driver,Apparently Normal,None Given,Inattention Other
1/17/2022,2022-00002782,OK0140200,,,,PRIVATE PROPERTY / 1717 W LINDSEY ST,,,,,,,,1,D - Driver,Apparently Normal,None Given,Incident Report
1/17/2022,2022-00002809,OK0140200,,S,,MERCEDES,DR,,,,MELROSE,DR,,2,D - Driver,Not Applicable,None Given,No Improper Action by Driver
1/17/2022,2022-00002809,OK0140200,,S,,MERCEDES,DR,,,,MELROSE,DR,,1,D - Driver,Unknown,None Given,Improper Act Other Unkn
1/17/2022,2022-00002829,OK0140200,,N,,FLOOD,AVE,,W,,ROBINSON,ST,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/17/2022,2022-00002829,OK0140200,,N,,FLOOD,AVE,,W,,ROBINSON,ST,,1,D - Driver,Apparently Normal,None Given,Other Distraction Inside
1/17/2022,2022-00002853,OK0140200,,E,,STATE HWY 9,HWY,,,,60TH,AVE,SE,1,D - Driver,Sleepy,None Given,Inattention Other
